,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.167599680943681,0,0,0,0,0.0919758337983364,0.00667490134438857,0,0.0235097152134486,0,0.0472492975073233,0,0,0,0,0,0
ETH,0,0,0,0.205455409303961,0.0760120903583812,0,0,0.0227505839318745,0.0510218547898005,0.0268747205945489,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.123977540896207,0.137311597619537,0,0,0,0.194944661566439,0.0852946814559051,0,0,0,0,0.00239869739941989,0,0,0,0,0
BCH,0,0,0,0,0.332797972098261,0,0,0.16146289617504,0.142888736265458,0.109660000689423,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.395438932657319,0,0,0,0.0737343995418034,0.135687128614168,0,0.00427203698198845,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.32562497873331,0.0532319831848925,0,0,0,0.127935576760598,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.203438725866387,0.0426389392098125,0,0,0.0560402817796392,0.141566790969721,0,0,0,0,0,0.240794261128202,0,0,0,0,0
ADA,0,0,0,0.177458741864864,0.138652696810123,0,0,0,0.0750544395794726,0.0480942125965367,0,0,0,0,0.199500346831462,0,0,0,0,0
MIOTA,0,0,0,0.149888636802139,0.0520576432984864,0,0.111315341809201,0.0300540334729266,0,0,0.424901547005179,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.121279654339311,0.246484399142889,0,0,0.0992558042077091,0.0402403143699468,0,0.0285494218887902,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0829874627656816,0.0847251344038294,0,0,0.0556389442539977,0.224930794080537,0.0703832359599784,0,0,0,0,0.14099001675294,0,0,0,0,0
XMR,0,0,0,0.447062146768484,0.0000000000000000000271050543121376,0,0,0.00349204793991295,0,0.00391001562352867,0.105583868630657,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.139799074957361,0,0,0,0,0.0598916207158931,0,0.205692417239687,0.0201962705703959,0,0.0650506928857125,0,0,0,0,0,0
ETC,0,0,0,0.368179276267116,0,0,0,0,0.0808400174380912,0,0,0.0425567280777613,0,0,0.0355349489326862,0,0,0,0,0
XEM,0,0,0,0.197433188000816,0.141512866613261,0,0,0.0299782159377635,0.107719456095564,0,0.0871289908267896,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.00500042084177754,0,0,0,0,0,0,0,0,0,0,0,0,-0.0748869593213764
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497072891034267
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
