,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.105914509147786,0.377035495148557,0,0,0,0,0,0,0,0.0532225448214724,0.00599498798507932,0,0,0,0,0
ETH,0,0,0,0,0,0,0.112375195285863,0.0183227375093034,0,0,0.0575597123420475,0.0551907814299782,0,0.0609421551788877,0,0,0,0,0,0
BCH,0,0,0,0,0.200618182931646,0,0,0.157205394649613,0,0,0.174044704505999,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.0105204450896409,0,0,0.147836621060529,0.0787302894238168,0.0499769535211575,0,0.023416035989488,0,-0.000000000000000000867361737988404,0,0.0137115527143756,0.0461874247947416,0,0,0,0,0
DASH,0,0,0.0613568510843442,0,0,0,0.132675149517569,0.0286248640137456,0.0183363172668108,0,0,0,0.0552667941281393,0.0386204990703111,0,0,0,0,0,0
LTC,0.0701454406256836,0,0,0.170843269296061,0,0,0.05344593569844,0,0,0.0728978819454512,0.102898199950961,0.0167637494823385,0.0388858929052406,0.0327679786902402,0,0,0,0,0,0
MIOTA,0,0,0,0,0.0484709268133936,0,0,0,0,0.171002724331353,0.203661309337347,0,0.137612087397455,0.114286793628746,0.0367416617771388,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.0447593017474094,0.0487999979284929,0,0.057498215854977,0.175618515885253,0,0,0,0,0
XMR,0,0,0.0280081873839909,0,0.0593924420164581,0,0,0.108944954564425,0,0,0,0.0179755969303472,0.103591737795714,0.0668183947775027,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.190328168945532,0.00804849407346396,0,0,0,0,0,0.108576202695028,0.0986819180887379,0,0,0,0,0
ETC,0,0.172574083561378,0.119585661276853,0,0,0.0148207626342584,0.0145649137329675,0,0,0.0116296678658554,0,0.0324576635279306,0,0,0.00124951398256947,0,0,0,0,0
EOS,0,0,0.087195775011575,0.109002152792135,0,0.0486102299105812,0.153176058631916,0.0370686992874404,0,0,0.208458861637583,0,0.111300863609903,0,0,0,0,0,0,0
ZEC,0,0,0,0,0.192750494760046,0,0.239909967495683,0,0,0,0,0.0159364638616124,0,0,0,0,0,0,0,0
ADA,0,0,-0.160128990555959,0,0,0,0.0653480385745875,0,0,0.0528624509239844,0.163403594484329,0,0,0,-0.0601315942625823,0,0,0,0,0
XLM,0,0,-0.0131009530965688,0,0,0,0.114471248803563,0.296146064379383,0,0.66833589087125,0,0.00703463854914693,0,-0.0719194230425862,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0352858336052173,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.000317994336228864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278333687520602
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
