,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0750200255626821,0,0.108652405519627,0.287699238864324,0.0175174798536521,0,0,0,0,0,0
XRP,0.307263286888617,0,0.0643295075257137,0.231479225360252,0,0.0375267050113048,0,0,0,0,0,0,0.0518335074079977
LTC,0.284449661047323,0,0,0,0.0595704201994191,0.089829174243942,0.0397479915240244,0.00496678483971577,0,0,0,0,0
XLM,0,0.516045792946302,0,0,0.124818635182055,0,0,0.0728576303249032,0,0,0,0,-0.0812337907489887
DOGE,0.348065837413777,0,0.114659221556863,0,0,0.204553348138344,0,0,0,0,0,0,0
DASH,0.636043220937004,0,0.0947014511195569,0,0.0238962177105974,0,0,0.0279671445360048,0,0,0,0,0
XMR,0.208623659539281,0.0477351529663946,0.0614578612104507,0,0,0.240984209162142,0,0,0,0,0,0,0
DGB,0.565269625186988,0,0.00000000000000000173472347597681,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.035001287337098
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.0043667458700696,0,-0.00102872040771513,-0.000394332183554712,0,0,0,0.000377643552988072,0,0.0117699016465654,0,0,-0.025185178139703
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735554125886256
VIX.INDEX,-0.00000282154055355059,0.0000131653138705139,0.000000000000000000000211758236813575,-0.0000229996338708119,0,-0.000000321320832129418,-0.00000108361513710527,0.00000122001514837827,-0.0000943346717029713,0,0,-3.70290551736991,0
