,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XLM,TRX,XMR,XTZ,ETC,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.110515991095954,0.0180651289375251,0.0979225050959241,0.01724607896163,0,0.043669925916571,0,0.0644190049531197,0,0,0,0.0168442792913169,0,0,0,0,0
ETH,0,0,0,0.08931659041141,0.0335921111658005,0,0.0973020610156461,0.0910558589355123,0.0720654588198033,0,0,0,0,0,0.0306047564004487,0,0,0,0,0
XRP,0,0,0,0.0417094416285732,0.0659577579166678,0,0,0,0.0898330109370221,0,0.114644823482167,0,0,0,0.0266165632104556,0,0,0,0,0
BCH,0,0,0,0,0.289308493591671,0.0661816888435819,0,0,0,0,0,0,0,0,0.0220437264093934,0,0,0,0,0
BSV,0,0,0,0.530482402774875,0,0,0.221058236081276,0,0,0,0,0,0,0.0462447078278099,0,0,0,0,0,0
LTC,0,0,0,0.238155655161733,0.0445938696836679,0,0.209910794828974,0,0,0,0.0394587896723391,0,0,0,0.037906513558426,0,0,0,0,0
EOS,0,0,0,0.116357432540357,0.11573076325017,0.0516513639534028,0,0,0,0,0.0322953121030629,0,0,0,0.0392723592969625,0,0,0,0,0
BNB,0,0,0,0.0344437525559991,0,0,0.210644820859061,0,0.0156155139178195,0,0.113920141178304,0,0,0,0.0842156871539141,0,0,0,0,0
ADA,0,0,0,0,0.0582485932263911,0,0.0367068942056483,0.193500604468091,0,0,0.237793277428688,0,0,0,0.045713696759756,0,0,0,0,0
XLM,0,0,0,0.00998444909342394,0,0,0.166781627350067,0,0.122231286626283,0,0,0,0,0,0.102248916568176,0,0,0,0,0
TRX,0,0,0,0.0911773444517257,0.0139763508116265,0,0.162206209524748,0.0774295526252097,0.197866000902369,0,0,0,0,0.00397690469786809,0.0364558592042402,0,0,0,0,0
XMR,0,0,0,0.089590991557814,0,0,0,0.297058266215071,0,0,0,0,0,0.00566392144131332,0.110250234277196,0,0,0,0,-0.0712181758888136
XTZ,0,0,0.292663961189971,0.0144836261873728,0,0,0,0,0,0,0,0,0,0,0.0298358840217573,0,0,0,0,0
ETC,0,0,0,0,0.125221796020722,0,0,0,0,0,0.214468993338884,0,0,0,0.290982338979795,0,0,0,0,0
DASH,0,0,0,0,0.222526288924002,0.196237781549328,0,0.190620211417364,0,0,-0.00000000000000000346944695195361,0.0740492905724891,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0146154665895405,0,0,0,0,0,0,0,0,-0.0179182503138638,0,0,0,0,0,-0.0655804395614271
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00376555990205845
SPX.INDEX,0,0,0,0,0.00312452184387437,0,0,0,0,0,0,0,0,0,-0.00096577234339167,0,0,0,0,-0.0447766495671883
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
