,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,LINK,ADA,XLM,LEO,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.151243069588431,0.00907874597145794,0.0200371906069131,0.102465040910178,0.0333542742467531,0,-0.00113707491086897,0,0.042849540500434,0,0,0.0126122504690926,0,0,0,0,0
ETH,0,0,0,0.226788646841988,0,0,0,0,0,0,0,0.0126876773160979,0,0,0.190506938346407,0,0,0,0,0
XRP,0,0,0,0.127777955909332,0.00604116171120193,0.054738926598057,0.0981276602806335,0,0,0.00280568226876955,0,0,0,0,0.219756956244712,0,0,0,0,0
BCH,0,0,0,0,0.272204152705674,0.0677098532898876,0.0500622517883366,0,0,0.0006632737452363,0,0,0,0,0.0799764846078336,0,0,0,0,0
BSV,0,0,0,0.489328159023536,0,0,0,0,0,-0.0105148294793463,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.379624264337696,0.000000000000000000433680868994202,0,0.0432824694991921,0,0,-0.00176676776138342,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.114429758848069,0.115714991646131,0.135177215415705,0,0,0,0.000446466179060908,0,0.0685930348001323,0,0,0.0739140673475999,0,0,0,0,0
BNB,0,0,0,0.178675728994418,0,0,0.0713055557857982,0,0,-0.000493788698073377,0,0,0,0,0.202371410169662,0,0,0,0,0
XTZ,0,0.220000782533488,0,0,0,0,0,0,0,-0.0132572902229838,0.140768222397091,0,0,0,0,0,0,0,0,0
INNBCL,0,13.6431176499705,0,0,-1.38040354388282,-4.00775492741692,0,0,-11.8326830017659,0,0,0,0,10.4509785127145,0,0,-1.76971462465412,0,0,-0.800738945464639
LINK,0,0,0,0.117572196814244,0,0,0,0,0.0833106559411675,-0.00362863328469761,0,0,0,0,0.00554480331025641,0,0,0,0,0
ADA,0,0,0,0.160899665251438,0,0,0.274858571776802,0,0,-0.00638076313648191,0,0,0,0,0.155773068967225,0,0,0,0,0
XLM,0,0.0758443262618428,0,0.115247329202766,0,0,0,0,0,0.00612126133065537,0,0.0201167851380281,0,0,0.15469314448621,0,0,0,0,-0.00566559370941039
LEO,0,0,0,0,0.0134432474575342,-0.152183758037672,0,0.1540171389842,0,0.00264430819528123,0.0752461384556221,0.0104568801556171,0,0,0,0,0.0221253249708682,0,0,0
TRX,0,0.16935057191037,0,0.225360180820565,0,0,0,0,0,-0.00112450398922843,0,0.0939968418543703,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00868679613576244,0,0,0,0,0.000369865708404676,0,0,0,0,0,0,0,0,0,-0.106855486051014
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0.0000000512416104804236,0,0,0,0,0,0,0,0,0,-0.00884575322284801
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.000000038428213132893,0,0,0,0,0,0,0,0,0,-0.070533767749526
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
