,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0165158845813144,0,0.136732889834156,0,0.0364749126834428,0.0128436019418302,0.130350291969637,0,-0.00000000000000000010842021724855,0,0,0,0,0,0,0
ETH,0,0,0,0,0.113913339933318,0,0.0242546795769989,0,0.00540837911962557,0.102212259602424,0,0,0.00000000000000000173472347597681,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0527733571461463,0,0.103515574258691,0.298208844427556,0.011566509702838,0,0,0,0.0925047581675364,0,0,0,0,0,0,0.0473177361401171
BCH,0,0,0,0,0,0,0,0,0.146935180053778,0,0.245278074424481,0,0.0113675714129882,0,0,0,0,0,0,0
LTC,0,0,0,0.0280976139942885,0,0,0,0.0374904769051644,0.0469754084262171,0,0.647279630151192,0,0,0,0.0367324164254539,0,0,0,0,0
DASH,0,0,0,0.0319683670710035,0,0,0.101905280647975,0,0,0.0915210095996939,0,0,0,0.248929982903284,0,0,0,0,0,0
XEM,0,0.127600251408994,0,0.0669029200811223,0.0224349314362421,0,0,0,0.0118608836402853,0.158333857415112,0,0,0.119679426607692,0,0,0,0,0,0,0
XMR,0,0,0.050401178165528,0,0,0,0,0,0.018030395304281,0.0312770971934824,0,0,0.0280251767660393,0.25520954607669,0,0,0,0,0,0
NEO,0,0.46670284776231,0,0,0,0,0.118559548041737,0,0,0,0,0,0.0894808696840035,0,0.228200668116596,0,0,0,0,-0.0114694819276306
MIOTA,0,0,0,0,0,0.161594377130312,0.251360213240714,0,0,0,0,0,0.0417106949411087,0.103055862844523,0.256609852668323,0,0,0,0,0
ETC,0,0,0,0,0.346216245255866,0,0,0,0,0.0887086253998334,0,0,0.000577816613835951,0.0107118733709026,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.265571798026997,0,0,0,0,0.180727241760095,0.0518517048543798,0.105634382171783,0.293289966084995,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.0597268556430286,0,0,0.0263695376925369,0.129103532276868,0,0,0.0367549486334975,0,0.112541552067219,0,0,0,0,0
EOS,0,0,0,0,0.145413325972136,0,0,0,0.138261813430283,0.000000000000000000433680868994202,0,0,0.00505127649769085,0.11793039679608,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043094288693086
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.000000000000000000000211758236813575,0,-0.00000628954381916801,0,0,0,0,0,0,0,0,0,0,0,-0.0355246239225474
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
