,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0115045288797008,0,0,0,0.120399038073786,0,0.191347447078944,0,0.203602714292233,0,0.0483907603383337,0,0,0,0,0
ETH,0,0,0.0714917694256892,0.0422080110248173,0.132160352366107,0,0,0,0.191726769080968,0,0.103975424603461,0,0,0.0203074510125758,0.0616978571266705,0,0,0,0,0
XRP,0,0,0,0,0.0663768458310459,0.0121727887900048,0.0211196789164159,0.101119631609537,0.0931429726651926,0,0.130486090596587,0.000453829266196952,0.106990838132974,0.0576007506811918,0,0,0,0,0,0
BCH,0,0,0,0,0.183897684572552,0,0,0,0.111756678214186,0.00825851631153439,0.0186066458577297,0.0200200661709735,0,0,0.0661822447709907,0,0,0,0,0
LTC,0,0,0,0.0698648202279267,0,0.00671526010219746,0,0,0.100664658113406,0.131517346780515,0.114732834088759,0.0904011750718207,0.0118977675029343,0,0,0,0,0,0,0
EOS,0,0,0.0267422052874796,0,0,0,0.115545449918021,0,0.153675847364197,0,0.0909903839474508,0.144656410369837,0,0.0684762908557872,0.0255103122252705,0,0,0,0,0
ADA,0,0,0.182639965004186,0,0,0,0,0.249114739156112,0.0594986413720852,0,0.0888540186478924,0,0,0.12203441971095,0,0,0,0,0,0
XLM,0,0,0.174306118924093,0,0,0,0.232650116721129,0,0.0939173556923975,0,0.0679724826134854,0.0440837656902905,0,0.0583444433419455,0,0,0,0,0,0
NEO,0,0,0,0.0495722569940247,0,0,0,0.0793106603523871,0,0.296237239355176,0.164131945343965,0,0,0,0.0105663008721647,0,0,0,0,0
MIOTA,0,0,0,0,0.17087568820351,0,0.0331421971610752,0,0.103366102610531,0,0.235474716463564,0.0842279035283549,0.111189508914433,0,0,0,0,0,0,0
XMR,0,0,0,0,0.17842984183125,0,0,0,0.358993951420295,0,0,0.040232298604181,0.100640809615037,0,0,0,0,0,0,0
TRX,0,0,0,0.246450516386477,0,0.0697588417807847,0,0,0.227684781236306,0.131026074018436,0.0601938560520637,0,0,0.0738838885697144,0,0,0,0,0,0.0781053646932186
DASH,0,0,0,0.0378894719939044,0,0,0,0,0.0556791021104992,0.167622412058676,0.177105742864115,0.0586936955955686,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.166321822711662,0.23041039288611,0.0697883141601886,0,0,0.0993344690980726,0,0,0.135266931029543,0,0,0,0,0.0289298029132807
BNB,0,0,0,0,0,0,0,0,0.338889131789128,0,0.0699436953527221,0.0691129642622236,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199346638389839
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369857468814181
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307893288355162
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786438383521283
VIX.INDEX,0,0,0,0,0,-0.000000913887539071455,0,0,0,0,0,0,0,0.0000776302132552873,0,0,0,0,-4.09097888581619,0
