,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XLM,TRX,XMR,LINK,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0787414603938232,0.0370997228929983,0.124591294233134,0,0.0446149524741839,0,0.025563830152358,0,0,0,0.0260895727149722,0,0,0,0,0,0
ETH,0,0,0.0813491767665977,0.145580146625475,0.00113173088394498,0.0570699770915105,0.0269972429680904,0.0109775530255494,0,0.0576254641113759,0,0.167140230865323,0.00629090495077366,0,0,0,0,0,0,0
XRP,0,0.318370657367718,0,0.044558508191135,0.025603271407681,0,0.0178730227135684,0,0,0.0520982646110452,0,0.0402243399328481,0,0,0,0,0,0,0,0
BCH,0,0.0453552012049052,0,0,0.217233003041001,0.0514253992058661,0.0382023055164817,0,0,0,0,0.250459612919638,0,0,0.108642951186184,0,0,0,0,0
BSV,0,0,0,0.503766473904247,0,0,0.237800357565875,0,0,0,0,0,0,0,0.0312445635589885,0,0,0,0,0
LTC,0,0,0,0.267719009580547,0.0423444942899638,0,0.146041886554078,0,0,0,0,0.121753565173402,0,0.0763996675126613,0,0,0,0,0,0
EOS,0,0,0,0.171056432940534,0.120604357038603,0.00997997892176532,0,0,0,0.0485348668143553,0,0,0.0371017794148993,0,0,0,0,0,0,0
BNB,0,0,0,0.168114478379076,0.00152497688886898,0,0.0325061315650573,0,0,0,0,0.267605098975276,0,0,0,0,0,0,0,0
XTZ,0,0.0613026018988301,0,0,0,0,0,0,0,0,0,0.0548837316434428,0.0555553699535243,0.23690448008072,0,0,0,0,0,0
ADA,0,0.0726072666969189,0,0,0.00488867977911205,0,0.245019753293093,0,0,0,0,0.204194719305769,0.00349646411883565,0.0219789682130677,0.114697071817924,0,0,0,0,0
XLM,0,0,0.491934814471156,0.0241540660644711,0,0,0,0,0,0,0,0,0,0.148840579852632,0.0305145196217273,0,0,0,0,0
TRX,0,0.133084339205976,0,0.15429849563821,0.0271190405975475,0,0,0,0,0.149987439399835,0,0,0,0,0,0,0,0,0,0
XMR,0,0.301501784153009,0,0.00354414419108562,0,0,0,0,0,0.104263851778821,0,0,0,0.0183102329045557,0.0925622414600915,0,0,0,0,0
LINK,0,0,0,0,0.0131877517340891,0.279266634008014,0,0,0.106198575789758,0.0443510987285057,0.175555913635226,0.0715105582324564,0,0,0.010642018795942,0,0,0,0,0
ETC,0,0,0,0.438023904204469,0.0720001337319387,0,0,0,-0.109437827280753,0.284143073987642,0,0,0,0,0,0,0,0,0,0.0189677696801554
BV010082.INDEX,0,0,0,0,0,-0.0000000000000000667868538251071,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085754733670277
CVIX.INDEX,0,0,0,0,0.00434171860383304,0,0,0,0,0,0,0,0,-0.0000000000000000000542101086242752,0,0,0,0,0,0.0911897589804995
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00302551399057126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0638816967834637
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
