,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,ZEC,DOGE,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.00633861157138329,0,0.103818232786401,0,0,0,0,0,0.046317392952633,0,0,0,0,0
ETH,0,0,-0.0900081585456924,0,0.0498658368785359,0,0.140896054309269,0,0,0,0.110685300003129,0.0236528246987441,0,0,0,0,0,0,0.00354494229380243
XRP,0,0,0,0,-0.11604462356778,0,0,0,0,0.454412246458495,0,0,0,0,0,0,0,0,0
XEM,0,-0.10620797198907,0.216645760216597,0,0,0.00983184113026636,0,0,-0.10549589524939,0,0,0.262006367516935,0,0.129928497772924,0,0,0,0,0
ETC,0,0.22677539595944,-0.102130401386449,0,0,0,0,0,-0.0180558453803265,0,0,0,0,0.310357904804383,0,0,0,0,0
LTC,0,-0.142533106838757,0,0,0,0,0,0.39005135419887,-0.059909583999507,0.014098503488508,0,0.0970512978582545,0.0205877345050774,0.197777039958062,0,0,0,0,0.0408747073521634
DASH,0,0.0209012797460942,0,0,0.0622785860299093,0.0482561590751555,0,0.238882398862469,0,0.00389700141922284,0,0.00221137917717279,0,0.0517705627399691,0,0,0,0,0
XMR,0,0,0,0.136205168519334,0,0.0206757203289953,0.253038074073539,0,0,0.0918378796101714,0,0,0,0,0,0,0,0,0
DGB,0,0,0,-0.126393502202668,-0.0915839441100457,-0.3234234206786,0,0.275910616711178,0,0.15340700153265,0,0.661346598332833,0,-0.0514963950496458,0,0,0,0,0
XLM,0,0,0.460345653259081,0,0,0,0,0.143687685870334,0.00930627010823992,0,0,0.0837052426147485,0,0,0,0,0,0,0
ZEC,0,0.257806589362142,0.0279884928002051,0,0,0,0,0.0335801225708621,0,0.00839274831463367,0,0.061473107443667,0,0.0423363243616418,0,0,0,0,0
DOGE,0,0,0,0.157888194093515,0,0.284386248261327,0,0,0.0838118605155288,0.0877140519619141,0.021794736490773,0,0,0.0573682098606021,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.146447572907541,0.0397379252481964,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00669192405218475,0,0,0,0,0.0247810932780492,0,0,0,0,-0.0474455869361558
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000561771493799549,0.0000108164112392204,0,0,0,0,0,0,0,0,-0.0213857991676177
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
