,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0644258029693085,0.0751625698367086,0,0,0,0,0,0.0592598937486934,0,0,0,0,0,0,0,0,0
ETH,0,0,0.156415977992453,0,-0.00000000000000000693889390390723,0,0,0.0660100183660952,0,0.0543628875918503,0.0661193964459338,0.111109926716676,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0726485180371956,0,0,0.0265245158545132,0,0,0.190920808791298,0,0.1053670919215,0,0,0,0,0,0,0
BCH,0,0,0.0535198461792086,0,0.016354832716546,0,0,0.230956595091343,0.0158641319485876,0,0.0645265645725868,0.122663806641047,0.0418650434513192,0,0,0,0,0,0,0
EOS,0,0,0.0971683621425644,0,0,0,0,0.0379484732374788,0,0,0,0.135352582109346,0.253252047760589,0,0,0,0,0,0,0
XLM,0,0,0.000000000000000000867361737988404,0,0,0,0,0.136950412662197,0,0,0.0327171493831407,0,0.275854246600323,0,0,0,0,0,0,0
LTC,0,0,0,0.0752216150190084,0.0112267816227401,0,0,0.126750457776942,0,0,0.112736907926867,0,0.044167731936443,0,0,0,0,0,0,0
ADA,0,0,0.125979149084766,0,0.0688573224155195,0,0,0,0,-0.000000000000000000867361737988404,0,0.302016106227337,0.173072288838318,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0711503968658958,0,0.109439242864924,0,0.0760134423471114,0.0923166661543096,0,0.204061813618631,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0.0587397958822567,0.0476630562584598,0.352103692981824,0,0,0,0,0,0,0
MIOTA,0,0,0.000000000000000000433680868994202,0,0,0,0,0,0,0,0,0.180181143691823,0.67506782565623,0,0.0848813988455542,0,0,0,0,0
TRX,0,0,0,0,0.142674770285673,0,0,0.163994072345936,0,0,0.191977864930651,0,0.218959939504034,0,0,0,0,0,0,0
NEO,0,0,0.0623012489241459,0,0.244768456541454,0,0,0,0,0.0165996384976836,0.33411426233507,0.0572273932219162,0,0,0,0,0,0,0,0
ETC,0,0.177980147935242,0.00905495452631953,0,0.126591403293532,0,0,0,0,0,0.199742496016636,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0.135788340469719,0,0,0,0,0,0,0,0.128594047001708,0.242375175554682,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0172067389224196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412275094199349
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.0047984375590996,0.000677209920699671,0,0,0,0,0,0.000902772670005192,0,0,0,0,0,0,0.0504855804023294,0,0,-0.00522036420880304
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460495079236351
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
