,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0302726176192603,0.109024584730426,0.011923181576497,0,0,0,0,0,0.0215137260343413,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.149248668446976,0,0,0,0,0.301394980475093,0,0,0,0.294314255801393,0,0,0,0,0,0,0,0
ETH,0,0.176925461179754,0,0.0849475871915034,0,0,0,0,0,0.0705927558973044,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0293873349992704,0.414108726429409,0,0,0,0,0.00392244066238237,0,0.064400675409989,0,0.16160567675584,0,0,0,0,0,0,0,0
XLM,0,0.129174474694501,0,0,0,0,0,0.618814121379421,0,0,0,0,0,0,0,0,0,0,0,-0.0203929834197444
EOS,0,0.11894951584302,0.0387810984814113,0.120176410614696,0,0,0,0.181704098730245,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0497025533169023,0.0491922053584734,0.231262452479057,0,0,0,0.11847183336386,0,0,0,0.0489625825849144,0,0,0,0,0,0,0,0
ADA,0,0.138968969178101,0,0,0.386456098820605,0,0,0,0,0.0403111814931395,0,0,0,0,0,0,0,0,0,0
XMR,0,0.115351405148127,0.374044903727979,0.0261394725502373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0.0127479771695686,0.359362087916748,0,0,0,0,0.291197225846734,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0727204036053289,0.140346899111395,0.0716598527697273,0,0,0,0.0572599833166382,0,0,0,0,0,0,0.0390243900732255,0,0,0,0,0
MIOTA,0,0.0997991148452522,0,0.0410347983262899,0,0,0.0203614318685919,0,0.25766223880039,0.154027367431765,0,0,0,0,0.0972020943191972,0,0,0,0,0
BNB,0,0.0304908946408816,0.0652804409272783,0.0161701159981102,0,0,0,0,0,0.126543376694759,0,0,0,0,0,0,0,0,0,0
NEO,0,0.000000000000000000216840434497101,0,0.097040210551711,0.0434002149262203,0,0,0.292710530096472,0,0,0,0,0,0,0,0,0,0,0,-0.0172596086204804
XEM,0,0.0426743591694938,0.106378742987866,0.103754019122276,0.00569660468513704,0,0,0,0,0.169766929841605,0,0.140587103576475,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270004233211024
CVIX.INDEX,0,0.000000520251711165116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445904171674606
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0872433557874243
VIX.INDEX,0,0,0,0.0000123278940658582,0,-0.0000107218177860398,0,0,0,0,0,0,0,0,0.00000245012273935665,0,0.230102304737043,0,-3.8700178053889,0
