,BTC,ETH,BCH,XRP,LTC,DASH,XMR,NEO,XEM,MIOTA,ETC,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.42122927505094,0,0,0.0626142379919545,0,0,0,0,0,0.0395759561967719,0.0115401921412679,0,0,0,0,0
ETH,0,0,0,0,0.0315843577056756,0,0.0396084428228852,0.0692833046732085,0.0809011411631128,0.0588201063582365,0.0819375074964368,0,0,0.0644030552656705,0,0,0,0,0,0
BCH,0,0,0,0,0,0.185412872173522,0,0.0868198849852833,0,0,0.221742349648001,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.140234626538471,0,0,0.052043404139959,0.0450655568401209,0.0707548032384305,0,0,0,0,0.04557161057291,0,0,0,0,0
LTC,0.0842704531515004,0,0,0.0854860374180121,0,0,0.0184529260248332,0.130585675152437,0.150458894937644,0,0.0893471577815978,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0151185415421702,0,0.0823667745905012,0,0,0,0.0229634797255566,0.183737914592678,0,0.079195075451859,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.0821750992887212,0,0,0.0679911095584864,0,0.0350078614810946,0.0494834959801799,0.145936481951771,0,0,0.0173168020079834,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.13540218664311,0.0560357476719869,0.0351563712404833,0,0,0,0.173518696320623,0,0,0,0,0
XEM,0,0,0,0,0,0,0.177363183090159,0.201836660913166,0,0.106014266504776,0,0,0.00353037951573703,0,0.0405203260784664,0,0,0,0,0
MIOTA,0,0,0,0,0,0.044701098322026,0,0.193343707321636,0.0410385399304964,0,0.161859214327059,0,0,0.0507354185126655,0.0374619693648643,0,0,0,0,0
ETC,0,0.16698382938501,0.138329809924238,0,0.145223770373695,0,0,0.0222464728069328,0,0.0249274761396503,0,0,0,0,0.00312782966460395,0,0,0,0,0
ZEC,0,0,0,0,0,0.342278033844407,0.0203167089113614,0.0586159071396985,0.201860381848252,0.0525722980124228,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.178928700688836,0.257153623629155,0.13478615946128,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.289205307466888,0.150289029545275,0.221336342338306,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.0265761825495192,0,0,0,0,0.0317027230737619,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000328636668207074,-0.000549147391573854,0,0,0,0,0,0,0,0,0,0,-0.0236609554340024
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
