,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,ADA,LEO,TRX,HT,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0816530679638081,0,0.266598111321158,0,0,0,0.00957893864144808,0.301367635908741,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.225515282541148,0,0.153974824962697,0.0209191348616083,0.0698222081110334,0,0,0,0.190267527271777,0,0,0,0,0,0,0
XRP,0,0,0,0.0763195904742027,0,0,0.140615762385805,0,0,0,0.0227096682093939,0,0.17645560577732,0,0,0,0,0,0,0
BCH,0.181255312148338,0.0569904917557878,0,0,0.139295455737573,0,0.125321919979021,0,0.0904686540493279,0,0,0,0.113329589145376,0,0,0,0,0,0,0
LTC,0.0650814276277393,0.232410431272867,0,0.023982575553226,0,0,0.09963996215494,0,0,0,0.234868455383804,0,0.0318421014631057,0,0,0,0,0,0,0.0104097836989019
BNB,0,0,0,0,0.165503648062292,0,0,0.0211909716249764,0.100078483855408,0,0,0,0.109405348455149,0,0.0675461793272078,0,0,0,0,0
EOS,0,0.198452576390975,0,0.0352648174141064,0.0744651685858637,0,0,0.0245096557351857,0,0,0.136017703122892,0,0.204437790662653,0,0,0,0,0,0,0
BSV,0,0,0,0.237971228853379,0,0,0,0,0,0,0,0,0.283897768020042,0,0,0,0,0,0,0
XMR,0.318705373067466,0.000617445683438696,0,0.190662029652676,0,0.0908135736043031,0,0,0,0,0,0,0.0185121416245698,0,0,0,0,0,0,0
XLM,-0.0000000000000000000135525271560688,0.113262947535664,0,0.0525201991305764,0.00869275526716485,0,0,0,0,0,0.284680941357,0,0.0964731857381734,0,0,0,0,0,0,0
ADA,0,0,0,0,0.00145146465894375,0,0.355379587372295,0.015261302491779,0,0.0562780407395585,0,0,0.302174139651439,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0.0429990823493987,0,0.0436102508233098,0,0,0,0,0,0,0,0,-0.0956767182487691
TRX,0,0,0,0,0.0965045356636987,0,0.105188716345285,0.20429284588458,0.132976333548317,0,0.147554098231383,0,0,0,0,0,0,0,0,0
HT,0.135297660962834,0,0,0,0,0.132027688576419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.0674417515317282,0,0,0,0,0,0.122065183839006,0,0.117645941371245,0,0,0,0.132234030437782,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108464801997025
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000459793786269742,0,0,0.034248840889104,0,0,0,-0.000271155305633151
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753290875269981
VIX.INDEX,0,0,0,0,0.000001338418835119,0,0,0.0000000000000000000000529395592033938,0,0.00000355079479726777,0.00000294374356024651,-0.00000692476401691349,0,0,0,0,0,0,-3.37525262049033,0
