,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XLM,XMR,EOS,NEO,BTG,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0663540215931237,0,-0.0760341191209212,0,0.073927353029291,0.00981896910051392,0,0,0.112255657701584,0,0.118836493406432,0,0.0233382618006369,0,0,0,0,0,0
XRP,0,0,0,0,0.081311273214452,0.0156387345680696,0,0.109505576001812,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.170936367866041,0,0,0,0,0,0.0419745491788589,0.007270779477142,0,0.106584593108334,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0790346951860225,0.176067903059151,0,0,0.106987594624037,0.0747051501920676,0.2111949006974,0,0,0,0,0,0
ADA,0,0.138043099167337,0,-0.0742202465309663,0,0,0,0.049007417254519,0,0.537885988874338,0,0,0,0,0.136346611709145,0,0,0,0,0
LTC,0.177527123226979,0,0.32016328935261,0,0,0,0.0479437557898233,0.228980580243651,0,0,0,0,0,0,0.0521583882908438,0,0,0,0,0
MIOTA,0,0,0,0,0.0256998489762023,0.134019781090166,0,0.126276917798096,0,0.184248717839796,0,0,0,0,0.197631298068142,0,0,0,0,0
XEM,0,0.112450597358958,0,0,0.0801314600562951,0.0312672676887166,0.0418242941237732,0,0,0.1917838956244,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0699750042480718,0.0464360269517254,0.054469529449165,0,0.0190111783470321,0,0,0.0775893381893768,0,0,0.0262116603577326,0,0,0,0,0,0
XLM,0,0.0149649300594111,0,0,0.281590497055556,0,0.10968514045958,0,0,0,0.140193388399195,0.0760621020115538,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.000000000000000000867361737988404,0,0.0562041976005687,0,0.222796603560483,0.108306285446122,0,0.0139616102421743,0.0872178478190948,0.0347353400033261,0.100853702778815,0,0,0,0,0
EOS,0.323543054269355,0,0.320466378848665,0.130924317417577,0,0.0189406093145741,0.134584998163901,0.0257902595225772,0,0.113358045884245,0,0,0.223490458376011,0,0,0,0,0,0,0
NEO,0,0.0930235859508349,0,0,0.0217189172853876,0,0,0.0221271145348153,0,0.109526416271237,0.0421801905804725,0.0821888134152799,0,0,0,0,0,0,0,0
BTG,0,0,0,0.487455271376863,0.0124533839419548,0,0,0,0,0,0,0,0,0,0.0801666101492978,0,0,0,0,0
ETC,0,0,0,0.0473448008184703,0.0932957549135026,0,0,0.0977751695109696,0,0,0,0,0,0.0190453964520863,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0124414142091277,0.00300071487744969,0,0,0,0.0175154381307681,0,0.0119326412832053,0,-0.00537416384311546,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00000018997673903911,0,0,0,0,0.000000115227129931297,0,-0.000000085547868636049,0,0,0,0,0,-0.0123783133442557
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
