,BTC,ETH,XRP,LTC,EOS,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0867106682369548,0,0,0.0754185857351964,0.108620220175364,0,0,0.0434073914612265,0,0.0034171601412017,0,0.014059874727338,0,0,0,0,0,0,0
ETH,0,0,0,0,0.227406909340961,0.0941074867350043,0,0,0,0,0.192425432623795,0,0.0154632262960981,0,0,0,0,0,0,0
XRP,0,0.0825528704599299,0,0.0265671534615416,0.0353759440095196,0.0304644397236093,0,0.0743595261040455,0,0,0.13193271694684,0.0762868463428978,0.0337810330889124,0,0,0,0,0,0,0
LTC,0,0.153681042476233,0,0,0.418533300343395,0.0947830162922717,0,0,0,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0
EOS,0,0.360141680861767,0,0.189424528119762,0,0.0264421370715954,0,0,0,0,0.0925773073427524,0,0,0.0132260431845345,0,0,0,0,0,0
BCH,0,0,0,0.188799301390861,0.0807845341578613,0,0.0544941896739351,0,0,0.336919879773273,0,0,0.143144989194058,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.110119963047273,0,0,0,0,0.44932087339438,0,0,0,0,0,0,0,0,0
XLM,0,0.156266871029368,0,0.118755637619846,0,0.0757290549220605,0,0,0,0,0,0,0.215086789643964,0,0,0,0,0,0,0
BNB,0,0.145275035711475,0,0.181200091401987,0.143244807963223,0,0.183988096656669,0,0,0,0,0.0795017204776349,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0445540625836302,0,0.455147263384273,0,0,0,0,0,0,0,0.0880273008190187,0,0,0,0,0,0
ADA,0,0.34676213239791,0,0.118192705353385,0.123241987779815,0.0652453028166404,0,0,0,0,0,0,0.0388831845601197,0,0,0,0,0,0,0
XMR,0,0,0,0.0332255890798161,0.313501101951791,0.155061705674701,0,0,0,0,0,0,0.0582614022991079,0.102242636427218,0,0,0,0,0,0
MIOTA,0,0.0407973958804023,0,0.0369719913378314,0.403699608506466,0.08162849159259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.345236965517785,0.0983536133410146,0,0,0,0,0,0.0608724785490583,0.0240762594646574,0,0,0,0,0,0,0
MKR,0,0.203727013173425,0,0.0120276752963877,0.295306365886227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.00236912879320967,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0828812755814934
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143118877632001
VIX.INDEX,0,0,0,0,0,0.00000881578360121484,0.00000388204554434015,0,0,0,0.00000295727789493667,0,0,0,0,0,0,0,-2.40598354399689,0
