,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.141642976629545,0,0,0.026021962706337,0,0.0521642512957605,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.14111735609028,0,0,0.0779634001076916,0.161787966690796,0.0236536322746499,0,0,0,0,0,0,0,0,0,0
DASH,0.444197830755299,0.190475824367407,0,0,0,0,0,0,0.392369627240476,0,0,0,0,0,0.119266007049343,0,0,0
XRP,0,0,0,0,0,-0.000276158449397344,0,0,0,0.131419739905009,0,0,0.0224924072508841,0,0.0588892853582929,0,0,-0.0701420405467552
LTC,0.111996185537386,0,0.0154047066806744,0,0,0.0616024250865847,0.0337704179885383,0.00647148217093937,0,0,0.0492908669610626,0,0,0,0,0,0,0
XMR,0.520522198893723,0.15211807891008,0.112042671325256,0,0,0,0,0,0,0,0.0571391247667677,0,0,0,0,0,0,0
ETC,0.0565903646035931,0.10053108679417,0.107988763810353,0,0,0.0155042487534608,0,0,0,0,0.121540450823049,0.0780353361572063,0,0,0,0,0,0
XEM,0.362864787221132,0,-0.0000000000000000138777878078145,0.323544270555865,0,0,0,0,0,0,0.226354727113051,0,0,0,-0.405759183033082,0,0,-0.0203121733669238
ZEC,0,0,0.300576793207032,0,0,0,0.130677896271451,0.0756838206246841,0,0,0.0366975632656881,0,0.0268273677914424,0,0,0,0,0
DOGE,0.23824413182226,0,0.0301883387148299,0.0883186459512615,0.0553727715965261,0.0684159963878883,0,0,0,0,0,0,0.0360641848118268,0,0,0,0,-0.0625657465761796
XLM,0,0,0,0.107418103256643,0.141903175635531,0.0897606381303197,0.149347082153624,0,0,0,0,0,0.0167954758743778,0,0,0,0,-0.127637430270927
NEO,0,0,0.141399306968001,0,0,0,0.159073682286005,0.0611894733895694,0,0,0.094734162313954,0,0.0436382349680464,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0857169382130601,0,0,0,0,0.0192704125099622,0,0,0,0,-0.0175539257083524,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032926664054074
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
