,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0728005197858648,0,-0.019195816637044,0,0,0,-0.0132934451161969,0,-0.00309205391478371,0,0,0,0,0,0.0000108793980987197
ETH,0,0,0,0,0,0.0761659329479945,0,0,0,0.0772763611526495,-0.00664595675845858,-0.00387432930645939,0,0,0,0,0,0.0324939591955252
XRP,0,0,0,0,0,0,0,0,0,0.280533740125184,-0.018804733900133,-0.00841127211511234,0,0,0,0,0,0
LTC,0.208011439008454,0,0,0,0,0,0,0,0,-0.026155880709206,0.00282969582138856,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,-0.141805614808992,0,0.00726699099513746,0.00391502758090768,-0.0199027308252896,0,0,0,0,0,0
XMR,0,0.23501834586822,0,0,0,0,0,0.122553165676283,-0.690839793350121,0.0467996550365115,-0.0882529508979147,-0.0511725079783592,0,0,0,0,0,-0.120569081288332
DASH,0,0,0,0,0,0.0744124678761929,0,0,0,0,-0.02419962429045,-0.0313221589784506,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.0361315703644399,-0.0237247175028291,0,0,0,0,0,0
DOGE,0,0,0.0688322150297744,0,0.0261958009047325,-0.0707903616705504,0,0.0578979562720508,0,0.0122582029640267,0.00935397876844473,-0.00850465991536928,0,0,0,0,0,0
XLM,0,0,0.553245403785265,-0.120069613880454,0.0244767741676544,0.174686335128103,0,0,0,0,0.0261082338456501,-0.0173915752549371,0,0,0.154232034948901,0,0,0
NEO,0,0,0,0,0,-0.291917019645159,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0.191256670074618,0,0,-0.0828280618034539,0,0.0577279901999692,0,0,0,-0.0499027301010505,0,0,0.123624452729118,0,0,-0.064219384920877
BV010082.INDEX,0,0,-0.063565730659036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.000000046889236051925,0,0,0,0,0,0.0664553476963561
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603848938519308
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
