,BTC,ETH,XRP,BCH,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0288045028195672,-0.0761402699466736,0.0718279938998302,0.070647453995248,0.0402384635460488,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.180389678683791,0.00630793957887717,0,0,0,0,0.055490657967757,0,0.0616431342201989,0,0.0524357174246437,0,0,0,0,0
XRP,0,0,0,0,0.0668611019894362,0.0864175909673997,0,0,0.0990730159651787,0,0.0174574390406698,0,0,0,0.000000000000000000433680868994202,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.336140453904541,0.0117929575395888,0,0.11263074381803,0.219161514369551,0.0322093295712014,0,0.0340991230296068,0,0,0,0,0
LTC,0.0665878173102192,0.0222331646410878,0,0,0,0,0.0366162022419859,0,0.220606978053988,0,0,0,0,0,0.139074678164005,0,0,0,0,0
ADA,0,0,0.104786026242937,0,0.00000000000000000693889390390723,0,0.0177660091937753,0,0.0407631184967931,0,0,0,0,0.306664081703104,0.206350615310873,0,0,0,0,0
MIOTA,0,0,0,0,0.0258391620899896,0.0888990194407934,0,0,0.139716599941903,0,0,0,0,0.184768081376968,0.233070049857414,0,0,0,0,0
DASH,0,0,0,0.125183686439964,0.0783680181750482,0.0417631012237644,0,0,0.00662049431728511,0.088064208530639,0,0,0.108424850352175,0,0,0,0,0,0,0
XEM,0,0,0,0,0.0912779527215622,0.143603609803779,0.0687975936910228,0,0,0,0,0,0,0.0115300520420342,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0543396611812853,0.206491542564254,0,0,0,0.0294456610792935,0.0767594395433064,0.119483069225332,0.091651140344222,0,0,0,0,0
EOS,0,0.0167766846721984,0.0674885092848444,0.110676956273002,0.149800728068145,0,0,0,0,0,0,0,0.138127856306952,0.29904595408438,0,0,0,0,0,0
BTG,0,0,0.0187102191791451,0.536460088888585,0,0.0147449327383232,0,0,0,0,0,0,0,0,0.0629641074033779,0,0,0,0,0
NEO,0,0.203039852233838,0.122008662565229,0,0,0.0336559693958689,0,0,0.0141307391526231,0.0817125358522713,0.0615325188886379,0,0,0.0951812282099985,0,0,0,0,0,0
XLM,0,0,0,0,0,0.284132264934483,0.107234791372191,0,0,0.143679901968384,0.0746272597150858,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.117698899137777,0.00972644899939289,0.118865545002512,0,0,0.0785853005952594,0.0168633621269672,0,0.0214273412018244,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0142004892489382,0,0,0,0,0,0,0,0.022862921832331,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.000000000000000000000000827180612553028,-0.0000000228816462988639,0,0,0,0,-0.00000000797116161900656,0,0,0,0,0,0,0,-0.0123791672361583
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
