,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.102604220322723,-0.00000000000000000693889390390723,0,0,0,0,0,0,0.155198676398869,0,0,0.0218237594638839,0,0,0,0,0
ETH,0,0,0,0,0.0384019174699272,0.0912590958448123,0,0.167273262400267,0.0667971017649252,0,0.0235448849821665,0,0,0,0.0935471605203056,0,0,0,0,0
XRP,0,0,0,0,0.0411544478188782,0.0131567723617225,0,0,0.120728337053766,0.0665956606970519,-0.000000000000000000216840434497101,0.0987560076442171,0,0.043153083055472,0.0303889189376253,0,0,0,0,0
BCH,0,0,0,0,0.0420928525446225,0.31472204243626,0,0,0.034762272197046,0,0,0,0,0,0.0268807963567351,0,0,0,0,0
EOS,0,0,0,0.150502531975216,0,0.153656882069936,0,0,0.0315893345789786,0.204943412591231,0.0105414541688969,0,0,0,0.0935338975096314,0,0,0,0,0
LTC,0,0,0,0.449039395074785,0.12352346684684,0,0,0,0.0157789147289572,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0.213187305230735,0,0,0,0,0.170161108280474,0,0,0,0,0,0,0,0,-0.0801244107152696
XLM,0,0.0244815416071026,0,0,0.0550960694236405,0,0,0,0.225412877973886,0,0,0.115607921759971,0.0611081616580893,0,0.0226747126552354,0,0,0,0,0
ADA,0,0,0.242665392918068,0.323477590553551,0,0.0417791618870535,0,0,0,0,0,0.084068261179886,0,0,0.0332635419682522,0,0,0,0,0
TRX,0,0,0.362813411819183,0,0.115415306259943,0.075502041563227,0,0,0.0220255680043194,0,0.02521969102528,0.0019322835859039,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0964435925225675,0,0.155871900085915,0.0351514707573641,0,0,0.179540868994306,0,0,0,0.193881468432373,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0962126692520337,0,0,0,0.322956914371677,0.0273687063611171,0,0,0.0689235949477855,0.0723320672869332,0,0,0,0,0
DASH,0,0,0,0.00161191645600816,0.0977813814885545,0,0,0.133993964487982,0,0.0169068110273007,0,0.0553213391503785,0,0,0.0537394359641221,0,0,0,0,0
MIOTA,0,0,0.281747718771108,0,0,0,0,0.0604924643384976,0.13367364219625,0,0.0497031106041738,0.171182981748095,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0.533093422183161,0,0,0.197295852384459,0.101152999551895,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535285855848769
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.0000051858093857478,0,0,0,0,0,0,0,0,0.0377179748559298
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618136857770179
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
