,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0207909954823379,0,0.0779045234076866,0.0620754574237043,0.0341815892707181,0,0,0,0.00941800145101171,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.120081987740212,0.183501217429282,0.144201169328352,0,0,0,0.0432260774448606,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0740199530838266,0,0.0806406237723579,0.10671470185993,0,0,0,0,0.159860673038426,0,0,0,0,0,0,0,0,0,0
LTC,0,0.12109632811398,0,0,0.223823341725046,0.16241275287377,0.0825016668310516,0,0,0.138793128749028,0,0,0,0,0,0,0,0,0,0
EOS,0,0.138624829988754,0,0.210878160709686,0,0.187547494117773,0,0,0,0.1302168608623,0,0,0,0,0.0375446882715196,0,0,0,0,0
BCH,0,0.120124920289147,0,0.251295135387917,0.125264270089816,0,0,0,0,0.0250883304968345,0.0574568303059432,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.215048101794608,-0.00000000000000000346944695195361,0,0,0,0.23288432725606,0,-0.141756999910294,0.164855250690728,0,0,0.269262437546475,0,0,0,0,-0.0757661274006833
XLM,0,0,0,0.0533195244261436,0.0206418295796581,0.112392896935092,0,0,0,0.295420505224288,0,0,0,0,0.0201559963311428,0,0,0,0,0
TRX,0,0,0,0.0191315685217577,0.146147958556801,0.186063393575603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.165319495771455,0,0.044273660874431,0.305699016383792,0.0748049874793673,0,0,0,0,0,0,0.029219011872188,0,0,0,0,0,0,0
BSV,0,0,0,0,0.112149910706215,0.321685873769274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.123141632165184,0,0.110483125231073,0.213733571906854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0392677134810994,0,0,0.209456330414105,0.18831430620629,0,0,0,0.193471585713336,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.267877328831929,0,0,0,0,0.191621353929605,0,0,0.0138952239469811,0,0,0,0,0,0,0
MKR,0,0.413897117995662,0,0,0.264597175687087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00000000000000000010842021724855,0,0,0,0,0,0.00000000000000108376849161651,0,0,0,0,0.000000000000000695027802671833,0,0,-0.162882943314926,0,0,-0.0627830380314743
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0.00000108250940133506,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915445530162646
VIX.INDEX,0,0,0,0.0114331802477149,-0.00385049975278573,0,0.00140075688927468,0.00185812519701051,-0.00171678021393547,0,-0.00319125829804524,0,0,0,-0.00219575602643215,0,-0.0047847648957573,0,-1.73183438386614,0
