,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,XLM,DOGE,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0153494708767661,0,0.0644529736288533,0.20699046070784,0,0.563892110334718,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.40046929604768,0,0,-0.127428662136959,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.215792349310616,0,0,0,0,0,0,0,0
DASH,0,0,-0.0747311997256768,0.0190464936873031,0,-0.110767075499507,0,0,0.244806525017463,0,0,0.115925479675041,0.0264451090897931,0,0,0,0,0.0259789860831386
ETC,0,0.426772418634807,-0.0346406181150006,0.0643806318072454,0,0,0,0,0.0754975095543977,0,0,0,0,0,0,0,0,0
XEM,0,0,-0.127248817791331,0,0,0,0,0,0.00496729865357534,0,0,0,0.198974744958211,0,0,0,0,-0.220458301547358
XMR,0,0.354842832668094,0,0,0.0255759487271015,0,0.0872910147366325,0,0.0178972226074335,0,0,0,0,0,0,0,0,0
ZEC,0,0.00000000000000000173472347597681,0.0144615027802569,0,0.0567751916155113,0.170411325713127,0.0781966209323269,0.171747411289154,0,0,0.0398267170636893,0.12063118484166,0,0,0,0,0,-0.0417396070874097
XLM,0,0,0.402133878755433,0.0722531457964137,0,0,0,0,0,0,0.102593488258588,0,0.0858481477131549,0,0,0,0,0
DOGE,0,0.0562226658118661,0.14760339041809,0.0785444927799895,0,0,0,0,0,0.166691964207987,0,0,0,0,0,0,0,0
NEO,0,0,0,-0.0332161062491738,0.166994433071599,0,0,0,0.127602542834842,0.0250882623188311,0.0749781398884925,0,0,0,0,0,0,0
DGB,0,0,-0.193362899449914,-0.111838258011756,0.132184072642367,0,0.264835161295292,0,-0.24000822217389,0.505943007712198,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00071809997254797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0749104356207248
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.0000000544405752468621,0,0,0,0.000000204427384266182,0,0,0,0,0,0,0,0,0,0,-0.0204758473708942
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
