,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.174487562559281,0.121450756977756,0,0,0,0,0,0,0.0719380426242212,0,0.0466473571749583,0.010443179241637,0,0,0,0,0
XRP,0,0,0,0.0897499037221489,0.0573885830969257,0,0,0,0,0,0.214811179046283,0,0.053833742299782,0,0.0636399263321063,0,0,0,0,0
ETH,0,0,0,0.127436927336309,0.121145628453823,0,0,0,0,0,0.0264794737392405,0,0.00725831795509423,0,0.333400078436082,0,0,0,0,0
EOS,0,0,0.272168263035588,0,0,0,0,0,0.035726750275326,0,0.207209548518251,0,0,0.062922549200236,0.136460951866381,0,0,0,0,0
BCH,0,0,0,0.24950887232116,0,0,0.0607647448665155,0,0,0.44130296407679,0,0,0,0,0.0562338954902036,0,0,0,0,0
LTC,0,0,0.122020573169457,0.321402409528046,0.0171027850041373,0,0,0,0,0.0429695150837523,0,0,0,0,0.155702452290126,0,0,0,0,0
TRX,0,0,0,0,0.109178287942011,0,0,0,0,0,0.332350303969035,0,0,0,0.153676079885349,0,0,0,0,0
XLM,0,0,0,0.284044566723802,0.121726827999393,0,0,0,0,0,0,0,0,0.10029900606119,0.0700951245049474,0,0,0,0,0
BNB,0,0,0,0.308858550301696,0,0.0996648794641131,0.175260492919039,0,0,0,0,0,0,0,0.166440226811624,0,0,0,0,0
BSV,0,0,0.0700475456663256,0,0.59222699483176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028567784338766
ADA,0,0,0.261436162802782,0.3037265238782,0.0559754395805139,0,0.0446310009960066,0,0,0.00319026391494707,0,0,0,0,0.0835903338994534,0,0,0,0,0
XMR,0,0,0,0.0587316760334644,0.129761519945882,0,0,0,0,0.0323291068351335,0,0,0,0.272773535505447,0.18522521327057,0,0,0,0,0
MIOTA,0,0,0,0.238888014323275,0.00000000000000000346944695195361,0,0,0,0,0.0408816922447175,0.00913071913317365,0,0,0.301090001168573,0,0,0,0,0,0
DASH,0,0,0,0.297239673443115,0.132359614390852,0,0,0,0,0,0,0.0935299507508954,0,0,0.0240959877759419,0,0,0,0,0
NEO,0,0,0.380599218249675,0.263148306042716,0.00173207026438709,0.0526416450462953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250142618951426
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000366346502308509,0,0,0,0,0,0,-0.134371575885319
VIX.INDEX,0,0,0,0,0.0000000437743263397234,0,0.000000169267192570346,0,0.0000000000000000000000529395592033938,0.000000190027967162746,0,0,0,0,0,0,0,0,-2.33996062209025,0
