,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.491810369132623,0.0337062001276141,0,0,0,0,0,0,0,0,0,0.00798898129807875
ETH,0,0,0.188616553205998,0,0.0646876846106978,0,0.18695911349301,0,0,0.139627739881977,0,-0.148100297850845,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.602897974756163,0,0,0,0.000520875388788763,0,0,0,0,0,0,0,0,0,0
XEM,0.415218896690721,0,0,0,0,0.040772413085189,0,0,0.539110254315331,0.0225268936974739,0,0,0,0,0
DASH,0,0.073427488035414,0,0.113017256907991,0,0,0,0,0,0.0269376971470286,0,0,0,0,0
DOGE,0.328827290252322,0,0.208490648586522,0.00360310038873094,0.0137230471165689,0,0,0,0.00429845090496605,0.0299429081909019,0,0,0,0,0.0409060058826279
XMR,0.620359303329212,-0.0387681828626428,0,0,-0.0309136590491375,0,0,0,-0.0471777126111481,0.0349906091964103,0,0,0,0,-0.0681913892781642
XLM,0,0,0,0.0574886540704785,0.190193398677826,0,0.120595121278131,0.0470011123158043,0,0,0,0,0,0,0.0245652727251765
DGB,0,0.162405621399369,0,0,0.0923757056969909,0.139028752233038,0.127144158177922,0,-0.0498430375961038,0,0,0,0,0,-0.020080622109356
BV010082.INDEX,0,0,0,-0.0149473089129171,0.00258475017593738,0,0,0,0,0,0,0,0,0,-0.0854114637715145
CVIX.INDEX,0,0,0,0,0.00000571634139478184,0,0,0,0,0,0,0,0,0,0.231280215655158
DXY.INDEX,0,0,0,0,0.000000219236469177937,0,0,0,-0.000000283990169319705,0,0,0.0381053759777396,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648286691093157
VIX.INDEX,0,0,0,0,0,0,0,0,0.00000601024484391971,0,0,0.575980458546479,0,0,0
