,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.103933465342675,0,0,0,0,0.0453664611333265,0.007052022177642,0,0.0466951045665351,0,0.0478112402465061,0.0803987344153055,0,0,0,0,0
ETH,0,0,0,0.0342769598201255,0.0568561014018723,0,0,0.0183186610885753,0,0.0986931090243952,0.0162052851237574,0,0,0,0.155856724712937,0,0,0,0,0
XRP,0,0,0,0,0.137402821657633,0,0,0,0.123047092516289,0.174483630349712,0,0,0,0,0.078607428275737,0,0,0,0,0
BCH,0,0,0,0,0.361024199062436,0,0,0.039881185504536,0.181609991503162,0.107831301224807,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.208420570759598,0,0,0,0.0569407953755618,0.147701669240838,0.159478287140319,0.013465531889035,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.216338354218753,0.079070229718439,0,0,0,0.069380174696275,0,0.0145794026205012,0,0,0,0.064139094600246,0,0,0,0,0
XLM,0,0,0,0.130076666975109,0.0664042375701614,0,0,0.116114533108601,0.100589191174965,0.00000000000000000173472347597681,0,0,0,0,0.230435839595671,0,0,0,0,0
ADA,0,0,0,0.203790978838399,0.117478271294608,0,0,0,0.123946216045187,0.0798718385794668,0,0,0,0,0.149603938931694,0,0,0,0,0
MIOTA,0,0,0,0.0665904173730114,0.0999678352571182,0,0,0.192464283473581,0,0,0.358305164821253,0,0,0.0592167379715698,0,0,0,0,0,0
TRX,0,0.204820237952547,0,0,0.266067450960405,0,0,0.0933137225221837,0.00981434262352337,0,0.0488724944306395,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0207379748966262,0.108889384640004,0,0,0.0290477872287698,0.257442616204533,0.102438478021784,0,0,0,0,0.191134321529734,0,0,0,0,0
XMR,0,0,0,0.40710347445252,0,0,0,0,0.0272438207139566,0.0590714151547976,0,0,0,0,0.0793081031755177,0,0,0,0,0
DASH,0,0,0,0.113519142485292,0,0,0,0,0.119279238240509,0,0,0.042329253083018,0,0.0673390555272689,0.12859627560665,0,0,0,0,0
ETC,0,0,0,0.296450538896059,0,0,0,0,0.0542434177050044,0,0,0.11541197933538,0,0,0.062332859300922,0,0,0,0,0
XEM,0,0,0,0.141141600873258,0.149752532325195,0,0,0.10416626879146,0.0642803302750372,0,0.033477794535234,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713109567894735
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497079597446324
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
