,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.126581728557932,-0.0341476113702891,0,0,0.000000000000000000433680868994202,0,-0.0168615170420661,0,-0.00518856698748822,-0.0140546526218022,0,0,0,0,0
ETH,0,0,0,0,0.0219379805460239,0,0,0,0,0.0716183618327194,-0.016793020338866,0,0,0,0,0,0,0.0229653188635057
XRP,0,0,0,0,0,0,0,0,0,0.304357703017178,-0.0260538009969122,0,0,0,0,0,0,0
LTC,0.223274112289248,0,0,0,-0.021412204714697,0,0,0,0,-0.00960679542183297,0.000125165920291988,0,-0.0104935798661713,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.217622813168962,0,0,-0.130957923471143,-0.0413848311021317,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0418913611117341,0,0.0199076921386961,-0.0336271828807216,-0.0309407879972358,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0328882870208198,0,0,0.0845697970323192,-0.015528512976078,0.0374953947051913,-0.0319118160040516,0,0,-0.323503547128989,0,0,0
DOGE,0,0,0,0,-0.0506973501913658,0.000420999778637504,0,0.0204304553883815,0,0.0547818395704168,0.0139223114089492,-0.0139110095215694,0,0,0,0,0,0.0115879120724564
XLM,0,0,0.282499967191326,0,0.0314477880478642,0.0309253951514524,0,0,0,0,0,-0.01067436139935,0.0549333156117854,0,0,0,0,0.00884884100304353
NEO,0,0,0,0,-0.248718015158146,-0.216806416165795,0,0.174542196460666,0,0,0,-0.0545386537697195,-0.327269486147558,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.0100168152383635,0,0,0,0,0,0,-0.0338433938030615
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0.00000285188588535411,-0.000000811236663641954,0,0,0,0,0,0.107381440772116
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0.000999490626580279,0.0000512296536030308,0.000000000000000000000211758236813575,0,0,0,0,-0.00999433837908154
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415988585780904
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
