,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,XMR,TRX,XTZ,ETC,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0817790779635273,0.024695210577789,0.106702229730869,0.0209032061562611,0.0582595421123087,0,0,0,0.0715689767129096,0,0,0.0141039244519044,0,0,0,0,0
ETH,0,0,0,0.1006933600178,0.0255809048504732,0.000000000000000000867361737988404,0.124128638917726,0.105678784116127,0,0.0557879596813469,0,0,0,0,0.0255490661078753,0,0,0,0,0
XRP,0,0,0,0.0268046352565463,0.0392314208451057,0,0.186831704273778,0,0,0.0113079115830406,0,0.118904512546268,0,0,0.0159431280949588,0,0,0,0,0
BCH,0,0,0,0,0.289308493591671,0.0661816888435819,0,0,0,0,0,0,0,0,0.0220437264093934,0,0,0,0,0
BSV,0,0,0,0.664089730193409,0,0,0.144629050864243,0,0,0,0,0,0,0.00767862143674226,0,0,0,0,0,0
LTC,0,0,0,0.208165967807784,0.0417112468012283,0,0.284138405284839,0,0,0,0,0,0,0,0.0406208162313486,0,0,0,0,0
EOS,0,0,0,0.130603578340583,0.0907406527149313,0.166445749771786,0,0,0,0,0,0.113400598672823,0,0,0.0228692243613158,0,0,0,0,0
BNB,0,0,0,0.0407161099392796,0,0,0.18544913208273,0,0,0,0,0.127222572394694,0,0,0.0985640461387157,0,0,0,0,0
XLM,0,0.071563516750413,0,0,0,0,0.154461729232868,0,0,0.107847085948008,0,0,0,0,0.11344456344811,0,0,0,0,0
ADA,0,0,0,0,0.0613144063706777,0,0.0183215278322539,0.182844690648412,0,0,0,0.248618433166621,0,0,0.0472960080542725,0,0,0,0,0
XMR,0,0,0,0.0934300481899507,0,0,0,0.295561413028955,0,0,0,0,0,0.0113827022190099,0.101562360857046,0,0,0,0,-0.0708417005407088
TRX,0,0,0,0.0834953761694141,0.00303781293194955,0,0.237523675024703,0.170319746114506,0,0.0727726840215416,0,0,0,0.0204297598271019,0.0204689338715109,0,0,0,0,0
XTZ,0,0,0.287606052335678,0,0.00366213541628397,0,0,0,0,0,0,0,0,0,0.0263210644976952,0,0,0,0,0
ETC,0,0,0,0,0.126718954092451,0,0,0,0,0,0,0.198357414508722,0,0,0.296198958075222,0,0,0,0,0
DASH,0,0,0,0,0.231249786348042,0.136645691443237,0,0.223502648296374,0,0,0.0805216003872442,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0101729411986098,0,0,0,0,0,0,0,0,-0.0154536344306794,-0.00371435485556043,0,0,0,0,-0.0659486363885075
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00376555849197836
SPX.INDEX,0,0,0,0,0.00303001480057342,0,0,0,0,0,0,0,0,0,-0.000935754929911624,0,0,0,0,-0.0515455249673161
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
