,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,ATOM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0567182029417621,0,0.108777248309657,0.156406863672855,0,0,0,0.0598101595042653,0,0.0528296752988375,0,0.0150673854084337,0,0,0,0,0
ETH,0,0,0,0.050365772060397,0.0889657785378631,0.183570420732528,0.0480913804046437,0,0,0,0,0,0.0173668102040912,0,0,0,0,0,0,0
XRP,0,0,0,0.0934386985837487,0.0566414008929207,0,0,0.0659602888116729,0,0,0.148686671021473,0.0796380357010854,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0697041657244664,0,0.0573392700756244,0.20952142161372,0,0,0.24612049722664,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.158621415041243,0,0.598215679776199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.485520288718907,0,0.0657671106161047,0.081323064833609,0,0.0450916398396797,0,0,0.103666079244315,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0.172340518158542,0,0,0,0,0.17727466908346,0,0.0264027634850618,0,0,0,0,0,0,0
BSV,0,0,0,0.189821277994994,0.0519016984595283,0.163726597867181,0,0,0,0.0136958850304969,0.118598933567384,0,0.100859088232447,0,0,0,0,0,0,0
XTZ,0,0,0.683100378079426,0,-0.555550682191149,0,0,0.308266969255656,0,0,-0.262068114381184,0,0.113623738087903,0,0.318301727201672,0.40850823755496,0.0964332066255275,0,0,0
XLM,0,0,0,0.0814030978141656,0.317993272576361,0.162128825650089,0,0.0239795794977087,0,0,0,0.0199169876790113,0,0,0,0,0,0,0,0
TRX,0,0,0,0.273803205055396,0,0,0.343119000597742,0.0563974692460211,0,0,0,0,0.0500626549707292,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.366406769062867,0.076361131743574,0.130108842742551,0,0.0028159674954344,0.0859617668881429,0,0.03762929379196,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0.323029269419195,0,0.0766663968737633,0.215284875741101,0.311125814353776,0,0,0,0,0,0,0,0,0,-0.0980205270902172
LEO,0,0.112965350088363,0,-0.181846188826138,0,0,0,0,-0.00277305115863591,0.103868267522,0.152535512548914,0,-0.060102934693163,0,0,0,0,0,0,-0.00939879643888272
XMR,0,0,0,0.296528278021369,0,0,0.352825070583841,0,0,0,0,0,0.0392146645698044,0,0,0,0,0,0,-0.0176511750320123
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262706945328018
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.000000912657295931446,0,0,0,0,-0.143930890590401,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000340317842399055,0.0430306972195792,0,0,0,-0.00263534315528019
SPX.INDEX,0,0,0,0,0,0.00000190009150237453,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434414529361398
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
