,BTC,ETH,XRP,BCH,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0262993664393031,-0.0835832973684502,0.0695726606880612,0.0671342349429907,0.0364685809183837,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.180389678683791,0.00630793957887721,0,0,0,0,0.0554906579677571,0,0.061643134220199,0,0.0524357174246434,0,0,0,0,0
XRP,0,0,0,0,0.066861101989436,0.0864175909673997,0,0,0.0990730159651787,0,0.0174574390406698,0,0,0.000000000000000000216840434497101,0.00000000000000000010842021724855,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.321481114367006,0.027935149981218,0,0.109409250706592,0.210792119585654,0.031893538214657,0,0,0,0,0,0,0
LTC,0.0915420461067071,0.209444091374593,0,0,0,0,0.0482408179137206,0,0.22841435607521,0,0,0,0,0.0239085765475368,0.0273841285169883,0,0,0,0,0
ADA,0,0,0.0725710659560911,0,0.0603879615001057,0,0.0327503863812597,0,0.0313512380925923,0,0,0,0,0.289697094709314,0.211587041734903,0,0,0,0,0
MIOTA,0,0,0,0,0,0.109716022057461,0,0,0.144333036221518,0,0,0,0,0.194590224768459,0.287784857307596,0,0,0,0,0
DASH,0,0,0,0.113308987204729,0.0860845680023274,0.0668227825522603,0,0,0.0126444433495092,0.112769944851334,0,0.0092551130339229,0.028810897445023,0,0,0,0,0,0,0
XEM,0,0,0.104133435661049,0,0.0416424980212977,0.167871222069226,0.0747847261665343,0,0,0,0,0,0,0.00191891197971803,0,0,0,0,0,0
XMR,0,0,0,0,0,-0.00000000000000000173472347597681,0.0365027291380184,0.19405100019288,0,0,0,0.0241269597315623,0.10086431452242,0.154440179683827,0.0551636717339153,0,0,0,0,0
EOS,0,0.303733398853628,0.0788376510716053,0.0838576031610668,0.0482080824374917,-0.000000000000000000216840434497101,0.0463818768963971,0,0,0,0,0.0108428405795753,0.129336429792362,0.267962433787214,0,0,0,0,0,0
BTG,0,0,0,0.487455271376863,0,0.0124533839419548,0,0,0,0,0,0,0,0,0.0801666101492978,0,0,0,0,0
NEO,0,0.210603093467423,0.118987475877534,0,0,0.0265983528059581,0,0,0.0144026871338858,0.0811457871083002,0.0611289697913323,0,0,0.0913488240449314,0,0,0,0,0,0
XLM,0,0,0,0,0,0.283027014543214,0.102615371521743,0,0,0.161453961681137,0.0744185853937216,-0.00011403504435422,0,0,0,0,0,0,0,0
ETC,0,0,0,0.0486576600645656,0,0.10658191594592,0,0,0.0965282415198497,0,0,0.0178671503227968,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00787149539447452,0,0,-0.0217663490006348,0,0,-0.00101194695973693,0,0.00980853403748783,-0.00486999242681941,0,0.036352029958325,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00000000771241899656502,0,0,-0.0000000112762946245336,0.0000000170737541144847,-0.0000000215183561176353,0,0,0,0,0,0,0,-0.0123791065272333
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
