,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.132546160018237,0.10214931461089,0.0138081879606414,0,0,0.0374316770960716,0,0,0.0193794303172767,0.0557961160207094,0.0723296057560459,0.0486370151590288,0,0,0,0,0
ETH,0,0,0,0,0.0945824892614124,0,0,0.0488047121381607,0.068540028868479,0,0,0.150940383106255,0,0.144414219842829,0.0239339968902847,0,0,0,0,0
XRP,0,0,0,0,0,0.00000000000000000173472347597681,0.219598725755937,0,0,0,0,0.199720662843912,0,0,0.130822701946272,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.123078732387276,0.069489204617102,0.198992162234998,0,0.0300861650994469,0,0,0,0,0,0,0
LTC,0.236826268589943,0,0,0.148464531509604,0,0,0,0,0.00367603048200597,0.00209592181648717,0,0.0674992872561032,0.00469506537450046,0.13965825861254,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.437323259297013,0,0.10894908665227,0,0,0.0585403195848796,0,0,0.0894780895384311,0,0,0,0,0
XLM,0,0,0.117620355252549,0,0,0.410475433082505,0,0.000000000000000000867361737988404,0.00884375517508104,0,0,0.0862431164598755,0,0.127270243179509,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.199572175974084,0,0,0,0,0.109521147937869,0.231371153563779,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0.164610557373578,0.389736805434174,0.269409017156921,0.0144763560782131,0,0,0,0,0
MIOTA,0,0,0,0,0.285299589084575,0,0,0,0.0662700440055918,0,0,0.100931013293698,0,0.146985638598442,0.0099217038925175,0,0,0,0,0
DASH,0,0,0,0.0877943779478004,0,0.0330232274201094,0,0,0,0,0,0,0.251735542172071,0.0815696026339189,0.114978702282587,0,0,0,0,0
XEM,0,0,0.205031545383038,0.0530359931953213,0.0456614820880163,0.155493849746317,0.0770797835108598,0.0438334396313009,0.129315493059458,0.0654999504270977,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0513852295017851,0,0,0.00932528687400281,0.19347243881992,0.0193123583050936,0,0.224634945614784,0.00772837373635722,0,0.155362632712829,0.0215291129959315,0,0,0,0,0
ETC,0,0,0.0335874979059564,0.148879982858223,0,0,0,0.013464223348848,0.219234902662708,0,0,0.0273921219052012,0.0917448208573742,0,0.0501308816429648,0,0,0,0,0
TRX,0,0,0.261869131211355,0.297693422682892,0,0.355616751067845,0,0,0,0,0,0.0947358725485939,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0221388359565621,0,0.00616003034926921,0,-0.00621173822074276,0,-0.0115372771512584,0,0,0,0,0,0,0,0,0,-0.047074722449537
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000064011342559766,0,0,0,0,-0.0544651311095585
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
