,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.019594507068027,0.0648694523354653,0.0182913968401881,0.0745864866858076,0,0,0,0,0,0.109964814550054,0,0,0.00251649664656664,0,0,0,0,0
ETH,0,0,0,0,0.0450027860257318,0.108473254419952,0,0.19751213985998,0.0714837481891873,0,0.0225346187361236,0,0,0,0.05506639477225,0,0,0,0,0
XRP,0,0,0,0,0.0355493339623521,0,0,0,0.117384399353332,0.0694642864909859,0,0.0666707227613784,0,0.0258339561761377,0.0320168718615569,0,0,0,0,0
BCH,0,0,0,0,0.103578184413905,0.247878837122804,0,0,0.0498634761733433,0,0,0,0,0,0.0160875491402017,0,0,0,0,0
LTC,0,0,0,0.450968230741311,0,0.129433967867774,0,0,0.00202182035183954,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.161560699092556,0.065489860367913,0,0,0,0,0.0739736309626612,0.00793589282138279,0,0,0,0.07226041976095,0,0,0,0,0
BNB,0,0,0,0,0.213187305230736,0,0,0,0,0,0.170161108280474,0,0,0,0,0,0,0,0,-0.0801244107152697
XLM,0,0,0,0,0,0.0279824808979678,0,0,0.178575695377845,0,0,0.186125793295747,0,0,0.0218169081331397,0,0,0,0,0
ADA,0,0,0.147774076159792,0.314313380319129,0.0535541576056053,0,0,0,0,0,0,0.0846680421988562,0,0,0.0565415528120067,0,0,0,0,0
TRX,0,0,0.355503280545419,0,0.0483927139392049,0.0792243371117453,0,0.109076562087859,0.0220228572495278,0,0.0267475053866156,0.000000000000000000216840434497101,0,0,-0.000000000000000000867361737988404,0,0,0,0,0
BSV,0,0,0,0.159662942651476,0.137048936288829,0,0.0183813994544863,0,0,0.0465291438868998,0,0,0,0.108394050901547,0,0,0,0,0,0
XMR,0,0,0,0,0.0878785768592954,0,0,0,0.0208607252726416,0.293951650560295,0.0267212944153528,0,0,0.0566941019982452,0.0552381678060274,0,0,0,0,0
DASH,0,0,0,0.0753621225061217,0,0,0,0.0833301530460923,0,0.0780875283560245,0,0.226716837575879,0,0,0.0758711115229912,0,0,0,0,0
MIOTA,0,0,0.162850268577886,0,0,0,0,0.022785637325048,0.157172877953229,0,0.0516022254179697,0.242787972783228,0,0,-0.00000000000000000010842021724855,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0.526360048971182,0.0189468705650027,0,0.25422747563944,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.0215832768837428,0,0,0.0238447995337645,0,0,0,0,0,-0.00958867729782037,0,0,-0.0675114642660349
CVIX.INDEX,0,0,0,-0.00554719245472913,0,0,0,0,0,0,-0.0284281438011897,0,0,0,0,0,0,0,0,0.0673195478985109
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618148885589614
VIX.INDEX,0,0,0,-0.00000980518643662592,0,0,0,0,0,0,0,0,0,0,0,0,0.17972797299585,0,0,0
