,BTC,ETH,BCH,XRP,LTC,MIOTA,ADA,DASH,XEM,EOS,BTG,XMR,XLM,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.144597267751068,0,0.0584527155318628,0.00482884764699104,0.0407611209383553,0,0,0,0.0122327425751308,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.178639798718285,0,0.00497229759658381,0,0,0.0182648803555293,0,0,0,0.0700149765352803,0.134590288016029,0,0,0,0,0
BCH,0,0,0,0.207235777444137,0,0,0,0.126155186051995,0.0606857163800601,0,0.0769933287111985,0,0,0.0880931694452413,0,0,0,0,0,0
XRP,0,0,0,0,0.0507897432498129,0,0.0678946058227988,0,0.102961751968581,0.0261149494697294,0,0,0.0489826312132623,0,0.0221603084292343,0,0,0,0,0
LTC,0,0,0,0,0,0.0161005961644504,0,0,0.174087166017833,0,0,0,0,0,0.0775439966076101,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0915734858057952,0,0.177981964654173,0,0,0.0817986801761556,0.183668254711145,0,0.0322268244581205,0,0,0,0,0.182810955169134
ADA,0,0,0,0.0960224411990959,0.0321270177326382,0.026144266581943,0,0,0.0285517455983856,0,0,0,0.233368698868426,0,0.245552285030803,0,0,0,0,0
DASH,0,0,0.0588576645271345,0,0.0340427030597902,0,0.078397443859207,0,0.0217923531097574,0,0,0,0,0.0394475897704711,0,0,0,0,0,0
XEM,0,0,0,0.0936159940363085,0,0.0739022619736311,0.168741302094483,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0525357661193152,0.115675810833845,0,0,0,0,0.0189599259966023,0,0.00399498522915328,0,0.107465508433681,0,0,0,0,0,0,0
BTG,0,0,0.466094540286171,0,0,0,0.0403422334162022,0,0,0,0,0,0,0,0.0588883645983567,0,0,0,0,0
XMR,0,0,0,0,0,0.0583165394760078,0.023792618488534,0.172499360262521,0,0,0.00237895256821414,0,0.0762457908475035,0.0835408978160797,0.0960574220806307,0,0,0,0,0
XLM,0,0,0,0,0,0.0991345124288004,0.252625220677247,0,0,0.0404529316759395,-0.026542688167349,0.334518096392402,0,0,0,0,0,0,0,0
NEO,0,0,0,0.142769274321452,0.0187984534541329,0,0.0454886884419235,0,0.00686973324705752,0.0663192916242585,-0.0265365843192002,0,0.0257195929073129,0,0.0978476736594955,0,0,0,0,0
ETC,0,0,0.0273288203080299,0,0,0,0.1031914040866,0,0.100547553424592,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.0117865844815153,0,0,0.0156360734824188,0,0,0.0174866925624438,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.0000000208825686222486,0,0,0,0.0000000334209396163517,0,0,0.00000000000000000000000165436122510606,0,0,0,0,0,0,-0.012379327316832
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
