,BTC,ETH,XRP,BCH,ADA,XLM,LTC,EOS,NEO,XEM,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0044016387282923,0.00637967663530504,0,0.0856872065980193,0,0,0.0634786017150898,0,0.0177663895852423,0.0340785049249388,0.0121178399104227,0,0,0,0,0
ETH,0,0,0,0,0,0,0.164953178011806,0.0194531812814978,0.0650025727218319,0.000840241623872874,0,0,0,0.0255796477096007,0,0,0,0,0,0
XRP,0,0,0,0,0.149518621573038,0,0,0,0,0.114435629917906,0,0,0,0.0504767747685597,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0400974598005507,0.0268257651733735,0,0.0152229887146033,0,0,0,0,0.516801143036372,0,0,0,0,0
ADA,0,0,0.121880559699365,0,0,0.446372914710965,0,0.0142494479457993,0,0.0368611097057303,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.110086904846977,0,0.309298686577073,0,0.010967965711259,0,0,0,0.209554369968706,0,0.143726432205771,0,0,0,0,0,0,0
LTC,0.0791185213139893,0,0,0,0,0,0,0.00612421134375444,0,0.227573788543646,0.0551150566363298,0.110832338369379,0,0,0,0,0,0,0,0
EOS,0,0,0,-0.0000000000000000000542101086242752,0,0.164495539428968,0.113414941505786,0,0,0.0276835479415159,0.0000780483641958244,0,0.161132038612031,0.0300524637582135,0.363928843616465,0,0,0,0,0
NEO,0,0.396493126237784,0,0.101916417081205,0,0.231836554312974,0,0,0,0.00897268857310249,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.123090791167044,0,0.0427427853789814,0.270190728354401,0.0573259101604767,0,0,0,0,0,0,0,0.059705855655286,0,0,0,0,0
MIOTA,0,0,0,0.0437385792284583,0,0,0.16818575453477,0.106122415160531,0,0.143413839016734,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.151743731648778,0.0302388737105899,0,0.101221588972646,0,0.0473672038754625,0.00360274585176007,0,0,0.0534822594874853,0.0964572573489275,0.0932791374505139,0,0,0,0,0
XMR,0,0,0,0,-0.000000000000000000867361737988404,0.150497392473975,0.00848475273237818,0.0509579301609984,0.0903063115978636,0,0.0649156154035492,0.196133376820777,0,0.015304622660457,0.0796289643421601,0,0,0,0,0
TRX,0,0,0,0.162762453250805,0.130070713379771,0,0.0580989813944389,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0.00575982359862878,0.498470499066683,0,0,0,0.0000000000000000000542101086242752,0.0224103077164318,0.00284870573489003,0,0,0.0396290665432057,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.00557948591073827,0,0,0,0,0,0.00285551348475506,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00264348314733479,0,0,0,0,0,0,0,0,0,0,0.00245612242261914,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
