,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0.0269825935509686,0,0,0.244996797758698,0.307563113851906,0,0,0,0,0,0,0
ETH,0,0,0.0844120328479497,0.0295450689195752,0.0954443524743059,0,0,0,0.159553274778057,0.109367238400068,0,0.0259257505539058,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0641024886930399,0.112410030542623,0.174985368154886,0.0614106025880244,0,0.05579229383355,0,0,0.0282152240411484,0,0,0,0,0
BCH,0,0,0,0,0.0425281185126252,0,0,0,0.197411881183604,0,0,0,0.269892735854719,0.00174108061163221,0.00742150452860234,0,0,0,0,0
LTC,0,0,0,0.176420792782863,0,0.0250567481687408,0,0,0.163041361029878,0,0,0.136217323295181,0,0,0.0740291620297914,0,0,0,0,0
EOS,0,0,0.217172969174172,0,0,0,0,0,0,0,0,0.0739171438325858,0,0.0820886794661916,0.224071753517034,0,0,0,0,0
ADA,0,0,0.16786475929794,0,0,0,0,0.305536202681389,0.00480998700758167,0.103491603269198,0.0873025413947688,0.0326339731917197,0,0,0,0,0,0,0,0
XLM,0,0,0.0176554181733286,0,0,0,0.198208775547708,0,0,0.175873263795766,0.0452712198918717,0.0912459738906404,0,0,0,0,0,0,0,0
MIOTA,0,0,0.00623612712611662,0,0.0939334217422654,0,0.137360250067303,0,0,0.0547989600070168,0.0139993806644467,0.23967126205128,0.211213534344235,0.0443082349214598,0.0770093878309057,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0673755523393618,0.123755425038065,0.437982161972086,0,0,0,0,0,0.0496384579407754,0,0,0,0,0
XEM,0,0.0239672711587831,0.0421156892455084,0,0,0,0,0.393805379548428,0.201694973868754,0,0,0,0,0.0788358987650405,0,0,0,0,0,0
XMR,0,0,0,0,0.0219453180168949,0,0,0.0963469920312952,0.0525757214837553,0.0105218781301087,0,0,0.387073685926273,0,0,0,0,0,0,0
DASH,0,0,0,0.0540996897380561,0,0.0159739906491118,0.0377837972103425,0,0.23652100054251,0,0,0.132728656350874,0,0.0473753270493393,0,0,0,0,0,0
TRX,0,0,0,0.426196209185947,0,0,0,0,0.133059565661657,0,0.0736842924267339,0.133375903439461,0,0,0.00200768630224079,0,0,0,0,0
ETC,0,0,0,0.0207947738087729,0,0.106471950152448,0.180599040318287,0.146429535017135,0.0700309480789228,0.182199160083351,0,0,0,0.0371364665942062,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0164294869450671,0,0,0,-0.0152643177805033,0,0,0,0,0,-0.0352714691843935
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952315270447701
VIX.INDEX,0,0,0,0,0,-0.093033191960989,0.00827638115538089,0,-0.117786191039692,0,0.0207856197508864,0.214096112379556,0,0.0741085102252166,0,0,0,0,-1.36953201940774,0
