,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0059580719280414,0.00739530374491951,0.120127673740096,0,0,0,0.129248956337698,0,0,0.0760958486062398,0,0,0,0,0,0,0
ETH,0,0,0.0680226084169906,0,0.0406749970142793,0,0,0,0,0.250346536536793,0.00953748800270355,0.0563959919432745,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0159143425448207,0.0515002189604209,0,0.13789898337375,0,0.201305809481106,0.061424589868302,0,0.0497107362390382,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.00386537159945512,0,0,0,0.223736837891657,0,0.311681234734915,0.0357863467511854,0,0.0143393042439817,0,0,0,0,0
EOS,0,0,0.0643453451516816,0,0,0.0678650341873935,0,0.0572840794438562,0.132855937963501,0,0,0,0,0,0.0910289692044379,0,0,0,0,0
ADA,0,0,0.0956685220992999,0,0.0593001020937132,0,0,0.301860938407118,0,0.12654756915104,0.0703370340160901,0,0,0.0604164584299551,0,0,0,0,0,0
LTC,0,0,0.0561532373444961,0.0650867598046073,0.0466795999202352,0,0,0,0.0133184603353062,0.117782764052036,0.0237409040885458,0,0.136245583463333,0,0.0298098020374094,0,0,0,0,0
XLM,0,0,0.0895498225922434,0,0,0.277264720857237,0,0,0,0,0.342603545238224,0,0,0.0345877827406555,0,0,0,0,0,0
TRX,0,0,0,0.441965895158525,0,0,0,0,0,0,0.179668054424139,0,0.114052205957486,0.0403164908201246,0,0,0,0,0,0
MIOTA,0,0,0.018204583342228,0.194920274066756,0,0.22755024175772,0,0,0.00280586457786507,0,0,0.166877363394837,0.149116219913098,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0493772624458849,0.0398370935902808,0,0.223646945917289,0.031236402955012,0.307744266210562,0,0,0.0928287125089664,0,0.0973368472677923,0,0,0,0,0
DASH,0,0,0,0.150411932881043,0.0241054238740948,0,0,0.0146790818973867,0.0287129274657785,0.24773718778518,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.132763846909322,0,0,0.0882936165824514,0.149986005628078,0,0.00295575409263503,0,0.231370157533718,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.103531836901441,0,0.194826753872014,0.0308172500799174,0.271827942033734,0.0255277401995207,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0545627250646597,0,0.137017787858433,0,0,0.0808600585659362,0.0199657445398632,0.312867497088783,0.00662125980474935,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.036801750250978,-0.0166983162058989,0,0,-0.0305248051416304,0.0419977157370778,-0.0258233456362555,0,0,-0.0022428046430899,0,0,0,0,0,-0.0443641487317926
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.000000139278348559048,0,0,0,0,0,0,0,0,0,0,0,-0.100857384455728
VIX.INDEX,0,0,0,0.0000106181326113909,0,0.00000893056185633324,0,0,0.00000000000000000000042351647362715,0,0,0,0,0,0,0,0,0,-3.87713819738398,0
