,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,TAGZ5,XTZ,LEO,XMR,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0753627947232691,0.0705163625426313,0,0,0,0,0.0134182176503105,0.119803140434464,0,0.0536334063858022,0,0,0,0,0,0,0
ETH,0,0,0,0.319390096244334,0,0,0,0,0.00314929055391864,0.0493085928581424,0.250110120863596,0,0,0,0,0,0,0,0,0
XRP,0,0.180661028617844,0,0.0332103607090251,0,0,0,0,0.00106816231753217,0,0.0369790808909984,0,0.00290288539672711,0.0442800662829033,0.254669148238857,0,0,0,0,0
BCH,0,0,0,0,0.395760024737704,0,0.0401019666835897,0,0.000387961987564071,0.0429182814030599,0,0,0,0,0.36181998279779,0,0,0,0,0
BSV,0,0,0,0.666122241635574,0,0,0,0,-0.00193782630398873,0,0.0223111911628956,0,0.073030538628845,0,0,0,0,0,0,0
LTC,0,0.170172856184879,0,0.142924393137884,0.0612884332327586,0,0,0,-0.00185270333153644,0,0.0199263852415036,0,0,0,0.372462925477869,0,0,0,0,0
EOS,0,0,0,0.216995840175672,0.198161829534732,0,0,0,0,0,0.0416049669973255,0,0.0445166268707788,0,0,0,0,0,0,0
BNB,0,0,0,0.156471114579447,0.118997640734338,0,0,0,-0.000250241143948008,0,0.190237711205243,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.280511586097815,0,0.0837607593388049,0,0,0,0,-0.00140604615576115,0,0.0625753752863032,0,0,0,0,0,0,0,0,0
XTZ,0,0.565710714457342,0,0,0,0,0,0.0536966526694893,-0.0114458224208972,0,0,0,0,0,0.112483096366194,0,0,0,0,0
LEO,0,0,0,0,0.0295033499549146,-0.128462366586552,0,0.00509190406951441,0,-0.0118896813550627,0.0631742637048944,0,0,0,0,-0.0208411163393326,0,0,0,0.000000000000000000433680868994202
XMR,0,0,0,0,0,0,0.149657747606061,0,-0.00354854096607536,0,0.234896576189532,0,0,0,0.182948055540497,0,0,0,0,0
XLM,0,0.312363378374988,0,0,0,0,0,0,0.000726628891036974,0,0.221570994339705,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.196427419352124,0,0.148001677806196,0,0,-0.00069288336725675,0,0.163533335541659,0,0.056691104298676,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.0025640347728847,0.00503958347658042,0,0,0,0,0,0,-0.0847435940342857,0,0,-0.136308739890038
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155770899604456
DXY.INDEX,0,0,0,0,0,0,0,0,0.0000000957372158195179,0,0,0,0,0,0,0,0,0,0,-0.0140666237542145
SPX.INDEX,0,0,0,0,0,0,0,0,-0.00000000995580791248972,0,0,0,0,0,0,0,0,0,0,-0.152360984717531
VIX.INDEX,0,0,0,-0.00000189565564887104,-0.000000336326242234164,0,0,0,0.00000018305162852453,0.000000499441519523945,0,0,0,0,0,-0.0356897083301463,0.0686146366637824,0,-2.1684669998573,0
