,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.143830474548919,0.101946234080428,0,0,0,0.0328105094586186,0,0,0.0646701221321366,0.0273469355526201,0.0502942768524089,0.0523924948920146,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0361446079736717,0,0.059638968921846,0,0,0,0.15773631447803,0.134144190122902,0.0299197372988411,0,0,0,0,0
XRP,0,0,0,0,0,0.0454459196703508,0,0.301278184771345,0,0,0,0,0.10503042138758,0,0.150797143169461,0,0,0,0,0
BCH,0,0,0,0,0.291316479522738,0,0,0,0.119249395558522,0.0641068101854048,0,0.0455515886347288,0,0.113174629285697,0,0,0,0,0,0
LTC,0.0417069287368243,0,0,0.225640987852758,0,0,0,0,0.0222762940112796,0,0,0,0.114319298873454,0.136518280601357,0.0174177176864113,0,0,0,0,0
ADA,0,0,0.121774513820903,0,0,0,0,0.272544455201545,0.0311130156872587,0,0,0,0.0636507843423853,0,0.0691452298841894,0,0,0,0,0
NEO,0,0.090373562948324,0,0,0,0.0925726308749147,0,0.152700259649063,0,0,0,0.141195956254045,0.0915829760955009,0.00614515166128729,0,0,0,0,0,0
XLM,0,0,0.191019304405323,0,0,0.19574250512545,0,0,0,0,0,0,0.235396947474285,0,0.0302187718347867,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.00820985729889404,0,0,0,0.277340065027172,0.0242807132759157,0.304504031908444,0.0523163124326088,0,0,0,0,0
DASH,0,0,0.0206376152306931,0.051364630500948,0,0,0,0,0,0,0,0.100372356751647,0,0.111941411859957,0.0963117387396936,0,0,0,0,0
MIOTA,0,0,0,0.0332444476044545,0,0,0,0,0,0,0,0.111823450207978,0.120151079100179,0.406112843756322,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.107629315119997,0.0195399685955009,0.209414339636569,0.0934815021234549,0,0,0.00660718990438237,0.139375177069993,0,0,0,0,0,0
XEM,0,0,0.114971391449261,0,0,0,0.0220244445104416,0.328938095146793,0,0,0,0.0318920640789963,0,0,0.0142212286848814,0,0,0,0,0
ETC,0,0,0.00000000000000000173472347597681,0.0721750871402717,0.00527464826057116,0,0.293780502013148,0,0.202961756087436,0,0.0388164100800561,0.0746721631177182,0,0,0.0738401748028196,0,0,0,0,0
TRX,0,0,0.39366515624993,0.108707909476673,0,0,0,0.091392145439362,0,0.241865535596787,0.0294008997987071,0,0.18470862388305,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0128393066126751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490742268001813
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000000487492907039422,0,0,0,0,-0.0544651287012517
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
