,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0400634048284573,0,0,0.0802727598019719,0.0292533232798533,0.179556376473161,0.179440062743267,0.093833404776253,0.0122687219080668,0,0,0,0,0,0
ETH,0,0,0,0.0818520277305508,0,0.0705951669569832,0,0,0.102077543914543,0,0,0.184175836680225,0.0234057087865869,0.0150288708489459,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0181175543621478,0.0888180701020116,0.150149474791987,0,0,0,0.149258244825516,0.0798954483569251,0.0468161518487678,0.121659883479672,0,0,0,0,0
BCH,0,0,0,0,0.148894179997593,0,0,0,0.119974383223345,0.167175721085014,0.0363657675925182,0.0000000000000000138777878078145,0.011692773168578,0,0.0378174583583616,0,0,0,0,0
LTC,0,0,0,0.0441666217402994,0,0,-0.00000000000000000346944695195361,0,0,0,0,0.2136403067329,0.118297085585509,0,0.165688412373198,0,0,0,0,0
EOS,0,0,0,0,0,0,0.295686403765704,0.001717693280028,0,0,0,0.0174947498388136,0.184861880216932,0,0.255545174743128,0,0,0,0,0
ADA,0,0,0.149735699029735,0,0.00923849958112167,0.149752362269781,0,0.275442880388173,0,0,0,0.0490600714875153,0.044859966169943,0.0852410806183615,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.389286270580484,0,0,0,0,0,0.127532435259373,0,0.134646161737915,0,0,0,0,0
NEO,0,0,0,0.0110046900963681,0,0,0,0.112432146414721,0,0.30872655988299,0,0.100247969917096,0,0,0.0714694269979441,0,0,0,0,0
MIOTA,0,0,0,0,0.139278553181565,0,0,0,0.0681388263043109,0,0,0.361727319807632,0.113909951639867,0.0191593958971272,0.0802251968923212,0,0,0,0,0
DASH,0,0,0,0.170337389087392,0,0,0.0273091610797645,0.137084024421082,0,0,0,0.143051063662934,0.0598623414876435,0,0,0,0,0,0,0
XMR,0,0,0,0,0.131540591199113,0,0,0,0.152341198693462,0,0.51572474810765,0,0.00676051383359388,0,0,0,0,0,0,0
TRX,0,0,0,0.166571829783057,0,0.151199566044682,0,0,0.172193805847098,0.169765010645765,0,0.118961504235491,0,0.134255137680279,0,0,0,0,0,0.016383318175022
XEM,0,0,0,0,0,0.0310557811190218,0.180825491025573,0,0,0,0,0,0.313564748665477,0,0,0,0,0,0,0
ETC,0,0,0,0.071208342166666,0,0.147817653316543,0,0.0787810438570038,0.220552654178636,0,0,0,0.129163111042083,0.0566390862915519,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0338516542657901,0.0484195208909557,0,0,0,0,-0.0148650763511268,0,0,0,0,-0.00562562725862236,0,0,0,0,0,-0.0403968911151828
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166600965682999
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343012214028562
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544649359062269
VIX.INDEX,0,0,0,-0.020437038798676,0,-0.029767574147172,0,0,-0.0125536644107484,-0.051523801446251,0,0,0.114122133816513,0,0,0,0,0,-1.7197891773385,0
