,BTC,XRP,ETH,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.077900590705598,0.0819974217580894,0,0,0,0,0,0.00470253818575634,0.0102637629584171,0.0712124382946354,0.0173554596978712,0,0,0,0,0,0,0
XRP,0,0,0.000000000000000000433680868994202,0.0394260318144505,0,0.119587508972051,0,0,0,0,0,0.280738159929503,0,0,0,0,0,0,0,0
ETH,0,0.0872871512358544,0,0.134145510826094,0,0,0,0.214143482357497,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.333961975033726,0,0,0,0,0.243351055040023,0,0.066988788906167,0,0.123378504916853,0,0,0,0,0,0,0,0
EOS,0,0.0633158120907226,0,0.160738734229994,0,0,0,0.142590804340682,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.258433739109867,0,0,0,0,0,0.515476907663446,0,0.0344901815071301,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00830854431246045,0,0.081076870618684,0,0,0,0.192563204443697,0,0,0,0.214644199022355,0,0,0,0,0,0,0,0
ADA,0,0,0,0.230781749736097,0,0.39095760209452,0,0,0,0,0,0.0358544578913589,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0490606597942244,0,0.000000000000000000867361737988404,0,0.0365869406374742,0,0,0,0.363049823756445,0,0,0,0,0,0,0,0
TRX,0,0,0,0.109266424815902,0,0.0835844677085451,0,0.235758533174939,0,0,0,0.0584355826133614,0,0,0,0,0,0,0,0
DASH,0,0,0.207895706323224,0,0,0,0,0,0,0.0093995004056797,0,0.0279216468926433,0,0.139633127100015,0,0,0,0,0,0
MIOTA,0,0,0,0.11224600858243,0,0,0,0.210233257047199,0.25359741169352,0.0824217658965885,0,0,0.0736609095102102,0.0157268758009165,0,0,0,0,0,0
BNB,0,0,0,0.0879267728328626,0,0,0,0.0147417732094053,0,0.129103336047694,0,0.0324258903962535,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0292415335960869,0,0,0,0.121385995887721,0,0.132333695911774,0,0.218991911874279,0,0,0,0,0,0,0,0
ETC,0,0.0131139327383032,0,0.117399835054888,0,0,0,0.204142626292624,0,0,0,0.00455339830547092,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322368757060561
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917288320058377
VIX.INDEX,0,0,0,0,0,-0.00000151892282071583,0.000000149895200021178,0,0,0,0,0,0,-0.00000215787830300217,0,0,0,0,-4.05630677430119,0
