,BTC,ETH,XRP,BCH,LTC,BSV,EOS,STO,BNB,XTZ,LEO,XLM,LINK,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0522802605542476,0.0677488006936163,0.0198049906776945,0.0779934902351816,0,0.0589535604943232,0,0,0,0,0.1426463323223,0.0126245169208468,0,0,0,0,0
ETH,0,0,0,0.235207308651581,0,0,0,-0.0142373315777643,0,0,0,0,0,0,0.186876746687693,0,0,0,0,0
XRP,0,0.251130842473114,0,0.117668979441754,0.0806334167607599,0,0,0,0,0,0,0,0,0,0.187718137545674,0,0,0,0,0
BCH,0,0,0,0,0.0595453831990509,0.244551007605024,0.133859697230145,-0.000000000000000000433680868994202,0,0,0,0,0,0.0815640343449916,0.0930467145661588,0,0,0,0,0
LTC,0,0,0,0.34817571515655,0,0.0130807631437038,0,-0.00575809079222777,0,0,0,0,0.116893589161374,0.185044867418155,0,0,0,0,0,0
BSV,0,0,0,0.606179157192358,0,0,0.163395521041598,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.137191690991277,0.118085943897917,0.144153431721262,0,0.00446216430743467,0,0,0,0,0,0.104656302765079,0,0,0,0,0,0
STO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.000690924180336315,0,0.216571430999523,0,0,0.0205961696909622,0,0,0.0846657886238788,0,0,0,0,0.179295934949636,0,0,0,0,0
XTZ,0,0.138695159394811,0,0,0,0.000000000000000000216840434497101,0,0,0.0347088966038405,0,0,0,0.339342873302558,0.0383477084679873,0,0,0,0,0,0
LEO,0,0,0,0,-0.243270500264095,0,0.0465761132276901,-0.0151090572941985,0.125574549518204,0,0,0,0.0228258815941325,0,0,0,0,0,0,-0.00251680098893081
XLM,0,0.246088049014605,0,0.117603845446536,0,0,0,-0.0105816365014827,0,0.081038732120739,0,0,0,0.0670630031612587,0,0,0,0,0,0
LINK,0,0,0,0,0.11084064038124,0,0,-0.0283394623615549,0,0.23084895068447,0,0,0,0.114817547680933,0.00655801732792301,0,0,0,0,0
ADA,0,0,0,0.146840764909856,0.206974441737424,0,0.0766846402446837,-0.00191519571115046,0,0.123302681889438,0,0,0,0,0.0687110674641924,0,0,0,0,0
TRX,0,0.166512961791158,0,0.213098472916876,0.147942450814814,0,0,0,0,0.0399472076733755,0,0,0,0.0291044002601781,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00862956419225131,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168857391163293
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134804830343031
DXY.INDEX,0,0,0,0,0,-0.0000765451092231384,0,0.00400030838382052,0,0,0,0,0,0,0,0,0,0,0,-0.0128986112045285
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0891970168574575
VIX.INDEX,0,0,0,0,0,-0.00224573786111693,0,0,0,0,0,0,0,0,0,-0.0180206555267575,0.0488608289533179,0,-2.50294901290309,0
