,BTC,XRP,ETH,BCH,ADA,XEM,XLM,LTC,MIOTA,DASH,NEO,XMR,TRX,EOS,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.0116934844493385,0,-0.0303362242358501,0.053064411324377,0.135085986445128,0.0325417284937724,0,0,0,0.128736713455904,0.0251277575992587,0,0,0,0,0,0
XRP,0,0,0,0,0.0612115738321925,0.109253339232917,0.109698737549714,0,0,0,0,0,0,0.00916172970289301,0,0,0,0,0,0
ETH,0,0,0,0.0111147105251662,0,0,0,0.180554861157341,0,0,0.0542994857568149,0,0.0735893092315267,0.058227297605169,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0113266052836217,0,0,0,0.332902443478665,0.0368913565674407,0,0,0.123963270828659,0.21920718654679,0,0,0,0,0
ADA,0,0.127842628221698,0,0,0,0.049077376058467,0.556374201406027,0,0.0800249326282199,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0.0937794824742136,0,0,0.0734415063138159,0,0.225895160501673,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.348619195392432,0,0,0,0.0283903092712739,0,0,0.0655182367891098,0,0.136668064996441,0,0,0,0,0,0
LTC,0.190273508066399,0,0.380338158330471,0,0,0.230015382149896,0,0,0.0465907734896968,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,-0.0300721097255517,0,0,0,0.147683613764953,0.199887710511797,0.152793890295674,0,0,0,0.170934381774465,0,0,0.0257639288361344,0,0,0,0,0
DASH,0,0,0,0.0897761818165599,0,0.00982109586837207,0,0.0980591182671412,0,0,0,0.0872627142436172,0.040039986368301,0,0.00161180361060064,0,0,0,0,0
NEO,0,0.121322157940499,0,0.019200118881856,0,0.0161629808433968,0.116207122217614,0,0,0,0,0,0.0330593523919638,0.0567147008023813,0,0,0,0,0,0
XMR,0,0,0,0.0197652577526284,0.00917056160922432,0,0.121967488894259,0,0.101257718712648,0.177814621486004,0.0836916735906483,0,0.00359357915573788,0.0269294330238498,0.0324244411687601,0,0,0,0,0
TRX,0.39115282822914,0,0.273231783735523,0,0.0810792800443893,0,0.163212279532877,0.184462493615721,-0.0521598946651789,0,0,0,0,-0.00000000000000000693889390390723,0,0,0,0,0,0
EOS,0,0,0,0.0952591375088584,0,0,0.136573528370088,0.185230028790341,0.134845559777754,0,0.168720238293268,0,0.0580557164739271,0,0.0262605039985619,0,0,0,0,0
BTG,0,0,0,0.533202975135778,0.0155840024862404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00790667057796904,0,0.0101827383782286,0,0,0,0,0,0.00540579106197489,0.0073838485231984,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00319376578143859,0,-0.00143545441891374,0,0,0,0,0,0,0,0,0.0031316013946007,0,0,0,0,0,0,0
SPX.INDEX,-0.000000405062532767748,0,0,0,0,0.0000000902089303934706,0,0,-0.0000000492134603209492,0,0,0,0.0000000992551691478676,0.0000000976266113277663,0,0,0,0,0,-0.0159729257694857
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
