,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00970628088354874,0,0.0473958107340383,0.0722495273210103,0,0.0153091525305193,0,0.0212278657996655,0.0909214805872622,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.160209903595631,0,0,0,0,0,0,0.0121572976878724,0,0.260778312358336,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0322690804534051,0,0,0,0,0.287496051841944,0,0,0,0.110186055092816,0,0,0,0,0,0
BCH,0,0,0.109457552126686,0,0.144294640440447,0,0,0,0,0.062435476919479,0,0.111938868944114,0,0.0654706431721,0,0,0,0,0,0
EOS,0,0,0.0969055949197832,0,0,0,0,0.0902578219459107,0,0.0638273336047611,0,0.140867146403867,0,0.177694695283026,0,0,0,0,0,0
XLM,0,0,0.188722249042281,0,0,0,0,0.166791668030491,0,0,0.0510256275797823,0,0,0.102701880431215,0,0,0,0,0,0
LTC,0,0,0.0352436686051184,0.0408759630182296,0,0,0,0.160133326196376,0,0.147163975481578,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.141769727484161,0,0.151986602821536,0,0,0,0,0,0.0143573204405937,0.176264555696796,0,0.161842733990821,0,0,0,0,0,0
XMR,0,0.197834709162562,0.0933628324256959,0.0403627270717195,0,0,0,0,0,0.148094949803512,0.110473682613106,0,0,0.0153339110074688,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0.474975835755241,0,0.449607637804185,0,0,0,0,0,0
DASH,0,0,0,0,0.112530583186963,0,0,0,0,0.20595203038722,0,0,0,0.171906481012971,0,0,0,0,0,0
TRX,0,0,0,0,0.119071389523718,0,0,0.300021592820048,0,0.208985528951416,0,0,0,0.0996697394675869,0,0,0,0,0,0
BNB,0,0.110374877615875,0,0,0.042907030778571,0,0,0.0121989010338818,0,0.0560275000901476,0,0.00936496513391345,0,0.15783826086332,0,0,0,0,0,0
NEO,0,0,0.0642849793740319,0,0,0,0,0,0,0.310612831202901,0,0.196985382606845,0,0,0,0,0,0,0,0
ETC,0,0.201023981449098,0.0171323671745255,0,0.0867313660068707,0,0,0,0,0.184271874770835,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0253848196078275,0,0,-0.00639446727566211,-0.0213638180699138,0,-0.00826921111101386,0,0,0,0,0,0,0,0,0,0,-0.0419463156191884
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00308364103287642,0,0,0,0,0,0,0,0.000155535596531161,0,0,0.00079297286193233,0,0,0.0596233451033403,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460496709919016
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
