,BTC,ETH,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.477870835227821,0,0.0352117595772703,0,0,0,0,0,0,0,0,0.00660119099576347
ETH,0,0,0,0,0,0.0442824759408252,0.179023316836743,0,0,0.140786530819855,0,-0.155916702042029,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.61611116338492,0,0,0,0,0.00231834100724235,0,0,0,0,0,0,0,0,-0.0132908707362167
DASH,0.103188542447729,0.0560314685420252,0.0834333813788102,0.0834757620759016,0,-0.0394706855294069,0,0,0.0122746190666642,0.0563373922028015,0,0,0,0,0
XEM,0.405264941291583,0,0,0,0,0,0,0,0.657103834304361,0.0267464455374674,0,0,0,0,0
DOGE,0.286702356408525,0,0,0,0,0.0149505379460377,0,0,0,0,0,0,0,0,0.0346969546606418
XMR,0.536765852539142,0,0,0,0,-0.0280278471319708,0,0,-0.0335085681758168,0.0308829103973772,0,0,0,0,-0.0637351156470786
XLM,0,0,0,0,0,0.196148231533634,0,0,0,0,0,0,0,0,0
DGB,0,0.159394546106654,0,0,0.213567159584717,0.0673521728336403,0,0,0,0,0,0,0,0,-0.00536532335396456
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753867863417872
CVIX.INDEX,0,-0.00000376778168223533,0,0,0,0.0000000924150359854232,0,0,0,-0.0000037126875510179,0,0,0,0,0.231257565087369
DXY.INDEX,0,0,0,0,0,0.00000017116527775263,0,0,0,0,0,0.0326946386837863,0,0,0
SPX.INDEX,0,0,0,0,0,-0.0000010712704991195,0,0,0,0,0,0,0,0,-0.0648306633081875
VIX.INDEX,0,0,0,0,0,0.0111184871095158,0,0,0.0156209444458302,0,0,0.558836115950909,0,0,0
