,BTC,ETH,XRP,LTC,DOGE,DASH,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.599438596989943,-0.00894358630314006,0.0180397153885278,0.0596635024498703,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.100297285506275,0,0,0,0,0.0296875924046182,0,0,0,0,0
LTC,0.442507912661375,0,0,0,0.0137502857894461,0,0.00000000000000000010842021724855,0,0,0,0,0,0,0,0
DOGE,0,0.0553025018961223,0,0.414427413432328,0,0,0.0127074814627508,0.155175104046859,-0.00000000000000000173472347597681,0.00491967679725064,0,0,0,0,0.0675938105674255
DASH,0.0779144348084377,-0.182064052191922,0,0,0,0,0,-0.170529215886102,0,0.152556963782068,0,0,0,0,0.0319413747829147
XMR,0.299327691697466,0,-0.140878605430103,0,-0.00631423240589238,-0.310047113787406,0,0.451500961158235,0.0635076748842802,0,0,0,0,0,-0.0397615009604001
XLM,0,0,0,0,0.181859935334202,0,0,0,0.0685967742743397,0.0653217519269935,0,0,0,0,0.0146471941339194
XEM,0,-0.0740640616799977,0,0.516404176101556,0.0272839248106634,0.336575037176467,0.1127149777717,0.175322213195329,0,0.0942905866719949,0,0,0,0,-0.145959283801103
DGB,0,0,0,0,0,0,0,0.0271243200162285,0,0,0,0,0,0,0.233857637349253
BV010082.INDEX,0,0,0,0,0,0,0,-0.000185415793275259,0,0,0,0,0,0,-0.0384381730894624
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469880367269933
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,-0.000000716249451068353,0,0,0,0,0,0,0,0,0,0,0,0,-0.123846552593358
VIX.INDEX,0,0,0,0,0.10730940474243,0.0289218357323607,0,0.0189183085272081,0.00453345400415356,0.0767053696105459,0,0,0,-0.313979446124457,0
