,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.165658777406291,-0.00000000000000000010842021724855,0,0,0,0.0940257033519392,0.0187774310725656,0,0.0360941978195992,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0734790589228115,0.109876673907812,0,0,0.0491215965748583,0.0927706191719573,0.0527942242684891,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0223866536542581,0.149504037979968,0,0,0,0.158648512111901,0.149101293829255,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.271496981589536,0,0,0.203215999254121,0.130503515444093,0.156204965579163,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.390433781245879,0,0,0,0.0701394151386642,0.150422558586999,0.0268322849154667,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.314103515933211,0.0553235983219627,0,0,0,0.107449775215883,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0232002995804339,0.127865569630795,0,0,0.242469661155938,0.144832255594408,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.181823027715035,0.0796490619988762,0,0,0,0.107108451957195,0.0212451100682474,0,0,0,0,0.179087259867948,0,0,0,0,0
MIOTA,0,0,0,0.073188681893612,0.0961511893440089,0,0,0,0,0,0.501598946325264,0,0,0,0,0,0,0,0,0
TRX,0,0.070465871217693,0,0.250583301798481,0.17171270799086,0,0,0.122017900613184,0.0519284849682757,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.124821730961893,0.0835448565498222,0,0,0.105606234710123,0.26062955443886,0.0444642840151624,0,0,0,0,0.035992259639935,0,0,0,0,0
XMR,0,0,0,0.454713585795038,0,0,0,0,0,0.00814323378141354,0.108855026831554,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.214996901581919,0,0,0,0,0.0500807026273598,0,0,0,0,0.0331161740194965,0.111447553373608,0,0,0,0,0
ETC,0,0,0,0.347076223149586,0,0,0,0,0.0739056643829617,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.118261215370495,0.145386830754452,0,0,0.15710724359571,0.0423467085100608,0,0.0375442896057312,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713109567894735
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04694136288523
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
