,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00320699211282986,0.0855262390222067,0.0647390324141064,0,0,0,0.01445511931746,0.0440626311514033,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.161868664574245,0,0,0,0,0.0355659305763168,0,0.0559392654542246,0,0.180225220823102,0,0,0,0,0,0,0,0
XRP,0,0.106156809587817,0,0,0.0299437326351599,0,0,0,0,0.250549085560878,0,0,0.089809733064596,0,0,0,0,0,0,0
BCH,0,0,0.0985913885996912,0,0.0670532392426298,0,0,0.0316132961532062,0,0.0107969008480834,0,0.257576140842075,0.0142056513477332,0,0,0,0,0,0,0
EOS,0,0.141983198535091,0.169413909426234,0,0,0,0,0,0,0.0870725030594124,0,0.081031907269275,0.161876834457191,0,0,0,0,0,0,0
XLM,0,0,0.153841164564746,0,0,0,0,0.0241144858133793,0.0073228214355267,0,0.0433038149279133,0.0570132431543016,0.217553634009438,0,0,0,0,0,0,0
LTC,0,0,0.0202099730532499,0.073718180299345,0.0243408112504839,0,0,0,0,0.0634505264962351,0,0.090068167558011,0.0637810271751782,0,0,0,0,0,0,0
ADA,0,0,0.052608123309776,0,0.174635570761229,0,0,0,0,0,0.0133961958523438,0.264155987381015,0.163393205764682,0,0,0,0,0,0,0
XMR,0,0.426738992465462,0.0263601649647237,0,0.00000000000000000173472347597681,0.144227594022672,0,0,0,0.0015320895820168,0.130703628655757,0,0.0789596663479639,0,0,0,0,0,0,0
MIOTA,0,0,0.010359050995886,0,0,0,0,0,0,0,0,0.236328017935187,0.657252577343468,0,0.059942221279061,0,0,0,0,0
DASH,0,0,-0.00000000000000000173472347597681,0,0,0,0,0,0.0688623825399187,0.0620389226397612,0,0.0384301634707554,0.328130325849827,0,0,0,0,0,0,0
TRX,0,0,0.0616494673072555,0,0.176028064603674,0,0,0.0934307529669295,0,0.143972878474272,0,0,0.233523057314649,0,0,0,0,0,0,0
NEO,0,0,0.0761841822905803,0,0.12430856162863,0,0,0,0,0.404401031074657,0.0365023628079402,0.0702954446710191,0,0,0,0,0,0,0,0
ETC,0,0.198112976189696,0.00612584743331949,0,0.120820330295021,0,0,0,0,0.19446554963225,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0.0438517237811141,0,0.102549110315531,0,0,0,0,0.0571799558323156,0,0,0.164718368270388,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0199700608501121,0,0,0,0,0,-0.00646257042566674,0,0,0,0,0,0,0,0,0,0,-0.0449217896008126
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00479551618858934,0.000677597613825014,0,0,0,0,0,0,0.000901801642330514,0,0,0,0,0,0.0504860469069245,0,0,-0.00521071795488671
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04604921445201
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
