,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0506753655464724,0.168975892847409,0.0145876110678674,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.000000000000000000216840434497101,0,0.324854419135009,0,0,0.414149523901775,0,0.125899550514864,0,0,0,0,0
LTC,0.391250592600359,-0.0344250714068446,0,0,0,0,-0.00098805125668232,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0955486988722421,0.032784292077446,0.0994769366756944,-0.0606781994385124,0,0,0,0,0
DASH,0,0,-0.166121041002151,-0.0121798190436223,0,0,0.10762449067362,0.151361919694688,0,0,0,-0.0620468260457963,0,0,0.118934888174765
DOGE,0.232557828785602,0.00572119987577567,0.0675648296005099,0,0,0,0,0,0,0,0,0,0,0,0.0132365569285047
XEM,0,0,0,0,0.117542896277225,0,0,0,0,0,0,0,0,0,0
XMR,0,0.333347701294332,0,0,0,0,0,0,0.177071716830903,0,0,0,0,0,-0.0889488414023206
XLM,0.0788306243515295,0,0,0.0700789688883417,0,0,0,0.07378593786421,0,0.0692236752441222,0,0.31858844620288,0,0,0
DGB,-0.328166724310315,0.19724690585017,0,0,0,0,0.23387097723349,0.0548373461562773,0,0,0,0,0,0,-0.161844468890434
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102708877906112
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,-0.000000115086677402466,0,0,0,0,0,0,0,0,0,0,0,0,-0.0878947628203957
VIX.INDEX,0,0,0,0,0,0,0,-0.0000035369600742039,0,-0.0000078698749246545,0,0.530320065460071,0,0,0
