,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.156982098874195,0,0.0267286020108441,0.0274617607660465,0,0,-0.0369405247408374,0,0.107716829314518,0.0126879662171093,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.171998279934371,0.00346026256764357,0,0,0,0,0.0464480584589633,0,0.0587875290412901,0,0.061622303831699,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.306390000582806,0.0359674334476608,0,0.121495289697744,0.190121115345502,0.0390907762706613,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.079546272555673,0,0,0.110946536443619,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0257170169159494,0,0.156181298130317,0,0,0,0,0,0.0802927493452023,0,0,0,0,0
ADA,0,0,0,0.11469148968071,0,0,0.0238766391486562,0,0.0365085433547508,0,0,0,0,0.375323918970423,0.226681689316894,0,0,0,0,0
MIOTA,0,0,0,0,0.0269281488956209,0.0665760220545166,0,0,0.160764921074012,0.121821545592308,0,0,0,0.35345743141979,0.104586353890318,0,0,0,0,0
DASH,0,0,0.0923386255807545,0,0.0481300755780644,0.0588049646211341,0,0,0.016648680161402,0.0681101321539377,0,0,0.0524842700141609,0,0,0,0,0,0,0
XEM,0,0,0,0.0955340792526827,0,0.168318898458958,0.0733343888759755,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0364793786056125,0.142385091743037,0,0,0,0.00250248100220514,0.0623805893021672,0.181329830750317,0.00625107414922942,0,0,0,0,0
EOS,0,0,0.111920867874664,0.0659894386190715,0.150217423775303,0,0,0,0,0,0,0.00467186027054035,0.133601146955318,0.296919189485783,0,0,0,0,0,0
BTG,0,0,0.536920404683028,0.0185313587378563,0,0.0149845380123644,0,0,0,0,0,0,0,0,0.0604672927641577,0,0,0,0,0
NEO,0,0.217776427643513,0,0,0,0.0182358208206718,0,0,0.0270569296245047,0.0771074371547921,0.0566606699561231,0,0,0.105502359727584,0,0,0,0,0,0
XLM,0,0,0,0.0131892076074503,0,0.268317472460149,0.174111849243483,0,0,0.130962617019915,0.0855563180145526,-0.0204769927442043,0,0,0,0,0,0,0,0
ETC,0,0,0.0606818755933577,0,0,0.106145942378477,0,0,0.0957129870431614,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0200989055738057,0,0,-0.000521944511141141,0,0.00875551385961018,0,0,0.0361823869621031,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,-0.0000000148379602618483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159732352633075
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
