,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0676565206523866,0,0,0.0577263840651917,0,0.0543413382331116,0.0305420119941094,0.182620857313258,0,0.078070845036169,0.105060818859169,0,0,0,0,0,0
ETH,0,0,0,0.0272319288082703,0,0.111206520913858,0.155397411287117,0,0.10355227610564,0,0.101994475081471,0,0.0159905086573466,0.0532912896356473,-0.00000000000000000346944695195361,0,0,0,0,0
XRP,0,0,0,0,0,0.111336548956083,0,0.0716953537982763,0,0,0,0,0,0.312455418835804,0.094167232666532,0,0,0,0,0
BCH,0,0,0,0,0.0846438018656043,0,0.0175234593065622,0,0.148013988161972,0,0.130824792198853,0.0390942969074135,0,0,0.0752777958421713,0,0,0,0,0
LTC,0,0,0,0.071404012493144,0,0,0,0,0.0391325937360819,0,0.158283749982431,0,0,0.120554627770235,0.0961122051792582,0,0,0,0,0
ADA,0,0,0.165594530177016,0,0.0521926612155512,0,0,0.289166485991784,0.0559253650906786,0.0572919881358035,0.038954339143833,0,0,0.0123730209136959,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.138025675487094,0.0111066383503356,0,0.116187922429376,0,0.318686610207478,0,0.21415779746931,0,0,0,0,0
XLM,0,0,0.276575793665312,0,0,0,0,0,0.0577900497623801,0,0.0146255500528551,0,0,0.113481427931474,0.0380009319063943,0,0,0,0,0
EOS,0,0,0,0.0351413004358903,0,0,0,0.180022967948579,0,0,0.190408218604509,0.0775926695899469,0,0,0.26930279700886,0,0,0,0,0
XEM,0,0,0,0,0,0.163850217085924,0.11279926802878,0,0.0981938243176475,0,0,0,0,0.260219889581441,0,0,0,0,0,0
XMR,0,0,0,0,0.219083728023963,0,0.265740137949251,0,0,0,0,0.257011518585202,0.0369352216772573,0.0112475571278927,0,0,0,0,0,0
DASH,0,0,0,0.0101229494246895,0,0.136128269500392,0,0.0266627782611861,0.0273337467359967,0,0.102340862963682,0,0,0.151462035286379,0,0,0,0,0,0
MIOTA,0,0,0,0,0.105827818654005,0,0.0993015657373794,0,0.190889981914058,0,0.214274648588951,0,0,0.155500693245522,0.071944528143815,0,0,0,0,-0.0239552717621677
TRX,0,0,0.375293749768063,0.17548900462961,0,0,0,0,0,0.029133474132116,0,0,0.279012212895928,0,0,0,0,0,0,0
ETC,0,0,0.140939035960362,0,0,0,0.220649634949896,0,0.269126909517266,0.00573443474820225,0,0,0,0.0915620864540756,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00880477722631289,0,0,0,0,0,0,0,0,0,0,-0.0471393907318278
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522855134454
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544652712169198
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
