,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0496302515345236,0,0,0.0971359225368691,0,0.0995367690970446,0,0,0,0,0.109269638450984,0,0,0,0,0
ETH,0,0,0.104469479386753,0.328037631051425,0,0.116740164307903,0,0.0285969319619855,0.108930698058155,0,0,0,0,0,0,0,0,0
DASH,0.293785046597251,0,0,0.0838995103826357,-0.179814462720716,-0.12968090089181,0,0,0.550755766955427,0,0,0.00166474695799785,0.176358943221206,0.931484364600197,0,0,0,0
XMR,0,0.344243886490167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.0206161645228354,0,0,0,0,0,0.0979125032991374,0.0631354186134843,0,-0.0272206563721797,0,0,0,0,0,-0.062172820154148
ETC,0,0.437688319036145,0,0,0,0,0,0,0.0748015283125037,0,0.0722975238499715,0.0552901506327089,0,0,0,0,0,0
LTC,0.0349660027133081,0.00860448960167484,0.0041881711717309,0.0686202594178914,0,0.0544334007115193,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0.0858467731104402,0,0.162319101896727,0,0.275779477656194,0,0,0,0,0,0.121939066110804,0,0,0,-0.419831431079592,0,0,0
ZEC,0,0,0.318847891245131,0.0230043042028591,0,0.196696516371192,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0.261532123992662,0,0.0128153113455723,0.0132042749332147,0.0389074727373277,0,0,0,0.0463983413778333,0,0,0,0.061676962639348,0,0,0,0,0
XLM,0,0.0133422744273337,0,0,0,0.102883322741825,0,0.000000000000000000433680868994202,0,0,0,0,0.1072325253573,0,0,0,0,0
NEO,0,0,0.181895656732062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.726353503641346,0.0499321799923039,-0.00000000000000000010842021724855,0,0.0453787669477687,0,-0.781206150427772,-0.0612488499095301,0,0.620142828198676,0.400319295593704,0.2114082426259,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0653260794019582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0.0000000192116280939414,0,0,0,0,0,-0.00000000000000000000000330872245021211,0,0,0,-0.0000000970254842460935,0,0,0,0,0,-0.0329267270079088
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
