,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,XLM,DOGE,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0112727031716777,0,0,0,0,0.0893210856979593,0,0.00161869114914603,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.0472944060535705,0,0.0759387524076847,0,0,0,0,0.149645451131026,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.170735143972401,0,0,0,0,0,0,0.422631549860133,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0900374843845415,0,0,0.257683828158186,0,0.163205325108774,0.0307830046381966,0,-0.0354049628781971,0,0,0,0,0,0
ETC,0,0.574980523798899,-0.0271142072589111,0.0177630548392817,0,0.0900762498327265,0,0,0,-0.000000000000000000867361737988404,0.0733562065740051,0,0,0,0,0,0,0,0,0.0514023439211577
XEM,0,0,0.139269221581788,0.168383561270961,0,0,0,0,0.041638796660265,0,0,0.0468517585733414,0.201303024991132,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0297845633230215,0,0,0,0.141645780689072,0.000000000000000000433680868994202,0.0503113970660954,0,0.0105773798211836,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0877106213226399,0,0,0.279171711597615,0,0,0,0.000000000000000000867361737988404,0.131351736254095,0,0,0,0,0,0,0,0
ZEC,0,0.260127280590937,0.048892528292147,0,0,0,0,0,0,0,0,0,0.0699056657143264,0,0,0,0,0,0,0
NEO,0,0,0.129850367713239,0.255645883710318,0.610893232952251,0,0.130778414385242,0,0,0.0963058283455079,0,0.0174310884758986,0,0.00195797947995897,-0.0903210198545907,0,0,0,0,-0.208318404062071
XLM,0,0,0.49781928340847,0,0,0,0,0,0.153520765807343,0,0,0,0,0.0476115567732004,0,0,0,0,0,0
DOGE,0,0,0,0.236672939912064,0.0581406378834129,0.211245969298617,0,0,0,0,0,0.0601475253239613,0,0.0872095353203723,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.219388337202031,0,0,0.381455051603729,0.269868204634433,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.02339050131207,0,-0.000715619243191541,0,0,0,0,0,0,-0.0333137236971424
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000011227476674774,0,0,0,0,0,-0.0159568028975881
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
