,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.101152201695333,0.494867529655012,0.0468726134016478,0,0.0460494441890316,0,0,0,0,0,0
XRP,0.226455824225708,0,0.0918458929412191,0,0.0434712838922197,0.219722651417591,0,0.0316364734142124,0,0,0,0,0
LTC,0.544586338384071,0,0,0,0,0,0.0190703313425822,0.00894060159978874,0,0,0,0,0
DOGE,0.402740611978231,0,0.14672188171722,0,0.0382487806315987,0,0,0.00496930215521166,0,0,0,0,0
DASH,0.622296429624344,0,0.0738708966734541,0.0632448354733628,0,0,0,0,0,0,0,0,0
XLM,0.361590954023538,0.366266963637516,0.00977137479317345,0,0,0,0,0.0792912256504544,0,0,0,0,0
XMR,0.827081723132601,0,0,0.350839217527359,-0.0818624198463686,-0.185754920528208,0,0.00209423664013005,0,0,0,0,0
DGB,0.645320394224849,0,0.0172557952993452,0,0.0243157296120455,0,0,0,0,0.247848986755818,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0284327218295594
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.00673344794185446,0,0,0,-0.00206755589403445,0,0.00884170948630037,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000000967224307670571,0,0,0,0,-0.0742323227494151
VIX.INDEX,0,0,0,0,0.00000000423478634550181,0,-0.000000147549156174958,0.0000000197351335668611,0,0.000000406560796234456,0,-2.8563712402099,0
