,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.38425465168869,0,0,0,0.0758578727485864,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0705143913307618,0,0.117789484022398,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.112467523722474,0,0,0,0,0,0,0
LTC,0.587193517316967,0,0,0,0.0160858726699112,0,0,0,0.0112462088041354,0,0,0,0,0,-0.0118960497837485
DOGE,0,0,0,0.646670877054965,0,0,0.090846044461733,0,0.00321210068347836,0,0,0,0,0,-0.0330030461722328
DASH,0.222806797248548,0.0809996449637131,-0.422696794283903,0,0,0,0.00920159601236146,0,-0.00903282002453124,0,0,0,0,0,0
XLM,0,0.183877267275486,-0.0212809125725439,0,0.165463852420633,0,0,0,0.0259004554411764,0.0546644020325596,0,0,0,0,0
XMR,0.708129793810875,0,0,0,0.0236773595406232,-0.0657468132183687,0,0,0,0.0264622190851116,0,0,0,0,0
XEM,0,0,0,0,0.152532924046116,0,0,0,0,0,0,0,0,0,0
DGB,0.282969040489506,0,0,0,0,0,0.223294608298111,0,0,0,0,0,0,0,0.205018517862029
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00910944497985285,0,0,0,0,0,-0.0451423253632517
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.00233782630007481,0.000468617228241159,0,0,0,0,0.0275905033394267
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00566967491405433
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000269997816769001,0,0,0,0,-0.0903062099979897
VIX.INDEX,0,0,0,0,0.00000690940123299447,0,0,-0.00000762427754913718,-0.00000360132738016072,0.00000588187418584032,0,0,0,-3.1204691746692,0
