,BTC,ETH,XRP,BCH,ADA,XLM,LTC,XEM,NEO,EOS,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.00343897006356835,0.00511761297510213,0,0,0,0.0635436216556391,0.059169816164745,0,0,0.0293550510534793,0.0112238901793179,0,0,0,0,0
ETH,0,0,0,0,0,0,0.167895324742307,0,0.070710158836485,0.0334781493265424,0,0,0,0.0259045685947471,0.0071125733190213,0,0,0,0,0
XRP,0,0,0,0,0.149518621573038,0,0,0.114435629917906,0,0,0,0,0,0.0504767747685596,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.039798576081229,0.0311641438905032,0,0.0315860848615344,0,0,0,0,0.493193018441519,0,0,0,0,0
ADA,0,0,0.126300346746081,0,0,0.446869637073522,0,0.0685799432151638,0,0.0223274839024706,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.110134292148496,0,0.309325484626451,0,0.0111019209198616,0,0,0,0.209653084886348,0,0.143692202226587,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.12123721822827,0,0.0101360377796726,0.0793524945870668,0.0417477796090219,0,0,0.0685647115802965,0,0,0,0,0
XEM,0,0,0.12529488416863,0,0.0227189651265308,0.249147042209406,0.0249768898890309,0,0,0,0.0496541604489069,0,0,0,0.143043988673399,0,0,0,0,0
NEO,0,0.394712635591793,0,0.125827561348806,0.0178852969814203,0.120997492066683,0,0.0040870671084019,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,-0.0000000000000000000542101086242752,0,0.164495539428968,0.113414941505786,0.0276835479415158,0,0,0.0000780483641957194,0,0.16113203861203,0.0300524637582134,0.363928843616465,0,0,0,0,0
MIOTA,0,0,0,0.0439510820726262,0,0,0.169636594557445,0.143221257165684,0,0.105012079612334,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.182862450286821,0,0,0.0808042233439021,0.00448391024245292,0,0,0,0,0.0158148898114954,0.0886389597500539,0.10139336687932,0,0,0,0,0
XMR,0,0,0,0,0.00690157977964046,0.135995639893911,0.0332245224742617,0,0.126921073711995,0.0533231625777729,0.0591978685904833,0.160811628854411,0,0.0200802707297727,0.101178597324688,0,0,0,0,0
TRX,0.286662663628922,0,0.103411409257182,0.229262395143968,0.113670944043235,0,0.189414692273207,0,0,0,0,0.0877956898449364,0,0,0,0,0,0,0,0
BTG,0,0,0,0.475717327318822,0,0,0,0.00477847014182652,0,-0.0000000000000000000542101086242752,0,0,0.0892697844747197,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0.00557948591073828,0,0,0,0.00285551348475505,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00264347906338755,0,0,0,0,0,0,0,0,0,0,0.00245622038085099,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
