,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0136136535960182,0,0.468051168486266,0,0,0.0341990840597177,0.0797657823116505,0.0329825045899778,0,0,0,0,0,0,0
ETH,0,0,0,0,-0.0849011531000838,0,0.0752891223895639,0,0,0,0.187916101811778,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.458636514276989,0,0,0,0,0,0.00501546550455633,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.0477620534379795,0.0972509946541812,0,0.13687299628062,0,0,0,0.017720994668296,0,0.0750197410035394,0,-0.0784640038676967,0,0,0,-0.0815974398967638
XEM,0.440720509495907,0.0115422481323257,0,0,-0.015831133976118,0.0791958352721143,0,0,0,0.319001903721881,0,0,0,0,0,0
XMR,0.515912657373221,0,0,0,-0.0016257922943657,0,0.00000000000000000693889390390723,0,0.0285925065636631,0,0.187007949046192,0,0,0,0,-0.0595103296981633
DOGE,0.243285006742119,0,0,0.0792552661342486,-0.00885041084693355,0,0.0430139800648611,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.192967040172077,0,0,0,0,0,0,0,0,0
DGB,0,0.219555451250579,0,0.181285927930116,0.00763734222665508,0,0.072711079253935,0.0540931830467204,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00224302330589388,0,0,0,0,0,0,0,0,0,0,-0.0746926820603984
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0.0000000770057833025963,0,0,0,0,0,0.0274663490319523,0,0,0
SPX.INDEX,0,0,0,0,-0.0000000343332543210783,0,-0.000000000000000000000000206795153138257,0,0,0,0,0,0,0,0,-0.0441396455721431
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
