,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.109024584730426,0.0302726176192603,0.0119231815764969,0,0,0,0,0,0.0215137260343413,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.176925461179754,0.0849475871915034,0,0,0,0,0,0.0705927558973044,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0742503920957549,0,0,0.0255841973247327,0,0,0,0,0,0,0.591210931338802,0,0,0,0,0,0,0,0
BCH,0,0.305185417301416,0.0131142966778381,0,0,0,0,0.177888067587938,0,0.0902923428968801,0,0.0773993463347178,0,0,0,0,0,0,0,0
XLM,0,0,0.17293439768167,0,0,0,0,0.479439301307241,0,0,0,0,0,0,0,0,0,0,0,-0.0227829475085541
EOS,0,0,0.13066817914825,0.111533137496175,0,0,0,0.183810333831231,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0382155660875575,0.0430074727153546,0.237725447854245,0,0,0,0.114703931307862,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.161035323076256,0.0891171130045117,0.335520019599912,0,0,0,0,0.0411512494402868,0,0,0,0,0,0,0,0,0,0
XMR,0,0.199574977942139,0.104958350588462,0.0149377124584008,0,0,0,0.022139597707215,0,0,0,0.0502188811580083,0,0,0,0,0,0,0,0
TRX,0,0.359362087916748,0.0127479771695688,0,0,0,0,0.291197225846734,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.148387262367132,0.0690154442477969,0.0715935759513387,0,0,0,0.0549662647012764,0,0,0,0,0,0,0.0416164207620452,0,0,0,0,0
MIOTA,0,0,0.122673498001075,0,0,0,0.255949296850628,0,0,0.0953289108280279,0,0,0,0,0.157135761439227,0,0,0,0,0
BNB,0,0.0954838559719621,0.0221388324102273,0.0207450819019154,0,0,0,0.00576173409285722,0,0.128261940888038,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.148262832878935,0.00953932834424086,0,0,0.273566786168159,0,0.000000000000000000867361737988404,0,0.000000000000000000867361737988404,0,0,0,0,0,0,0,-0.0191272314045748
XEM,0,0.118217746378292,0.0379767783073443,0.105856241402659,0,0,0,0,0,0.166258374041833,0,0.162874493019407,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0138936472076359,0,0,0,0,0,0,0,0,0,0,0,-0.0495814345453343,0,0,0,0,-0.0403539322500582
CVIX.INDEX,0,0,0.00506604756046266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192461612950885
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0808564611836103
VIX.INDEX,0,0,-0.00000035736503780354,0.00000448929053520726,-0.00000189732484954951,0,0,0,0,0.00000253877813139701,0,0,0,0,0,-0.376983363965524,0,0,-3.10638128826491,0
