,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,HT,XLM,XMR,ADA,TRX,LEO,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0557051304530263,0,0,-0.000000000000000000433680868994202,0,0,0,0,0,0.408182773298445,0,0,0,0,0,0,0,0,0
ETH,0.0324277247105709,0,0.136328416022056,0.0784108984946213,0.257513974006381,0.199790416983362,0,0.0211786726372286,0,0,0.0390371845547269,0,0.0374766498562374,0,0,0,0,0,0,0
XRP,0,0.00641029874529143,0,0,0,0.134822869582396,0,0,0,0,0,0.0321748548667018,0.208974485925144,0,0,0,0,0,0,0
BCH,0.0523339819948219,0.331225124108479,0,0,0.152821931599608,0,0,0,0,0.0331067480732691,0.0702324113820432,0,0.134619072674248,0,0,0,0,0,0,0
LTC,0,0.242466702432085,0,0,0,0.173114105791629,0,0,0,0,0,0.080962192314454,0.175523654508165,0,0,0,0,0,0,0.00360562797940358
EOS,0,0.110875976138706,0,0,0.23984188905275,0,0,0,0,0,0,0.14226584877106,0.0300110903821575,0,0,0,0,0,0,0
BNB,0.16547247840304,0,0,0.00426479558018413,0.0775945379512379,0,0,0.0598123195275169,0,0,0.099243126597051,0,0.165269543212258,0,0,0,0,0,0,0
BSV,0,0.0836595950757538,0,0,0.00666951510910239,0,0,0,0,0,0.0192150621257431,0,0.239689561559227,0,0,0,0,0,0,0
HT,0,0,0,0,0,0.0183488801872595,0.312014032935651,0,0,0,0,0,0,0,0.0364835402333608,0,0,0,0,0
XLM,0,0.154217509856827,0,0,0.00201975147134413,0,0,0,0,0,0.0303648134490764,0.315977608199395,0.0565783963269277,0,0,0,0,0,0,0.0151858548791194
XMR,0.509081097334579,0,0,0,0.0472878981357696,0,0,0,0,0,0,0,0,0,0.013143184064657,0,0,0,0,0
ADA,0,0,0,0,0.122351400352074,0.123113834674562,0,0,0,0,0,0,0.275652081043359,0,0,0,0,0,0,0
TRX,0,0,0.104023605178008,0,0.269032150048403,0.101377809080706,0.139654826308191,0.083167606614433,0,0,0,0.0368225675438427,0,0,0,0,0,0,0,0
LEO,0,0.0310035523584424,0,0,0,0.0443694623815924,0,0,0,0,0.0761473375040305,0,0,0,0,0.0410753620097341,0,0,0,-0.0675011003765163
DASH,0,0,0,0,0,0.0633185366595915,0,0.022897531601723,0,0,0.111571099516005,0,0.209732494409306,0,0,0,0,0,0,-0.0112844338595857
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187352662242005
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400407449641358
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905004710205457,0,0,0,-0.00535775382337998
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0751403955913108
VIX.INDEX,0,0,0,0,0.0000101029325095217,0,0,0,0,0.0000107935209162034,0,0,0,0,0,-0.0550378880596579,0,0,-4.35248457250423,0
