,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,XEM,ETC,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.399067243731875,0,0.066399427997792,0,0,0,0,0,0.0442484145664214,0.0136730428924463,0,0,0,0,0
ETH,0,0,0,0,0,0.0867817383461708,0.0270765191977216,0.0473841820009853,0.126117435132967,0,0.035387144002403,0.0232499799894416,0.00215242796059615,0.0413858227593959,0,0,0,0,0,0
BCH,0,0,0,0,0.207646202875379,0,0,0.134148408471971,0,0,0.192820552078001,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0648276949134383,0.0474816159525517,0.0815814618083901,0.0570756632028164,-0.000000000000000000433680868994202,0.00152630849003038,0,0,0,0.0407097318715709,0,0,0,0,0
DASH,0,0,0,0,0,0.0576997248204013,0,0,0.153227945517497,0.0759148451756163,0,0.0660368912511706,0,0,0,0,0,0,0,0
LTC,0,0.137496717056576,0,0.0440532855165121,0,0,0,0.129905718352557,0.00454934493547964,0,0.142713346493022,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0995332825320477,0,0.0652777962833805,0.0376788652513766,0,0,0.153726811248183,0,0,0.0177409178126683,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0.136528361098028,0.0667766439174198,0.0632168941717046,0,0,0.168783930076316,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.197537257544125,0,0.117271173045404,0.0537728000193426,0,0,0.037838018154386,0.0555004826758408,0,0,0,0,0
XEM,0,0,0,0,0,0,0.181024794731776,0.205438556387685,0.105231016505995,0,0,0,0,0,0.0385433460101576,0,0,0,0,0
ETC,0,0.12537842618471,0.134513096737527,0,0,0.170625581116115,0,0.00392373389328881,0.0775053549956014,0,0,0,0,0,0.0000180659489734296,0,0,0,0,0
ZEC,0,0,0,0,0.197308912168737,0,0.0516752627906305,0.0844047867139728,0,0.273129474737594,0,0,0,0.0101427065705861,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0175591239489994,0,0.0653782949282256,0,0.000000000000000000216840434497101,0.136956860654297,0,0.16710104591696,0.314752619430618,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.288245366298305,0.197434365839177,0.160209058334843,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00482129042057557,0,0,0,0,-0.023696367293516,0,0,0,0.032427539507189,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,-0.000357063261346019,0,0,-0.000553958113242419,-0.0000000000000000000542101086242752,0,0,-0.000651685516960026,0,0,0,0,0,0,0,-0.0200517295318084
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
