,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0759490705532559,0.148709177807774,0,0.607983517194601,0,0,0.0393639098622663,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0.268016948902025,0,-0.109999582294107,0,0,0,0,0
LTC,0,0,0,0,0,0.107293661831951,0,0,-0.0273569177968057,0.136558081112896,0.143593517783745,0,-0.0343182596884345,0,0,0,0,0
DASH,0,0,-0.123755354398317,0,0,0,0,0,0.151969127966697,-0.022200564280241,0,0,0,0,0,0,0,0
ETC,0,0.409321243427971,-0.0304556550537517,0.079311302788403,0.027556572969639,0,0,0,0.0535092892418807,0,0,0,0,0,0,0,0,0
XEM,0,0,-0.00730226018228222,-0.121786010721877,0,0.0689053289204768,0,0,0,-0.26877178183261,0,0,0.184252067238282,0,0,0,0,-0.217047013030415
XMR,0,0.359844342458217,0,0,0.0702490923172771,0,0.104409815144267,0,0.00220858378884435,0,0,0,0,0,0,0,0,0
ZEC,0,0,0.0171129990283151,0,0.102485618178471,0.208906652445535,0.0272442176297106,0.0206070778406631,0,0,0,0.344126237278489,0,0,0,0,0,0
DOGE,0,0.121161067061773,0.11671714859654,0.0711955186973619,0,0.0568585613954548,0,0,0.0870878509185827,0,0.186464403418059,0,0,0,0,0,0,0
XLM,0,0,0.337701127695722,0.0992512828610996,0,0,0,0,0,0.0961890677044513,0,0,0.0248650823103043,0,0,0,0,0
NEO,0,-0.0588942751587322,0.0225031861743906,-0.0299160267744304,0.187335558635233,0,0,0,0.138964854441072,0.0530411098151637,0,0,0,0,0,0,0,0
DGB,0,0,-0.238894301468837,-0.17354549898135,0,0,0.128717408698583,0,-0.0587915069674683,0,0.529103976731829,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353095310619452
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.000179157830251238,0,0,0,0.000540076956063779,0.000481911969508128,0,0,0,-0.00262149316960258,0,0,0,0,0,-0.0207058905642748
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
