,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,XEM,NEO,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.113860331684155,0,-0.0941470511381221,0.0832837916456411,0.0205030997040992,0,0.0730227342079501,0,0,0,0,0.144246005572544,0.00137697786947428,0,0,0,0,0
ETH,0,0,0,0,0.0407827389894102,0,0,0.0321839483271618,0.0311596828766114,0,0.128565500694307,0,0.011985444614153,0.0153952725871224,0,0,0,0,0,0
BCH,0,0,0,0,0.133151185313727,0,0.157389172780307,0,-0.0121456143307314,0,0,0,0.446361165559455,0,-0.00781358637107123,0,0,0,0,0
XRP,0,0,0,0,0,0,-0.0228653260949205,0.0699914621857526,0.0750536387928288,0,0.0772170831266775,0,0,0,0.0458293525182683,0,0,0,0,0
DASH,-0.0979857227808766,0,0,0,0,0,0.010767692144587,0.0315148182247199,0,0.22007531743442,0,0,0.0253042198425403,0.0236112719809638,0,0,0,0,0,0
LTC,0,0,0,0.106402736497622,0,0,0,0.0514223577574737,0.0626666018867957,0,0.0886350407459574,0,0,0.0258709429381931,0,0,0,0,0,0
BTG,0,0,0.270441148307405,0,0,0,0,0,0,0,0,0,0,0,-0.00198663854361704,0,0,0,0,0
MIOTA,0,0,0.0250668342303341,0,0,0,-0.0377325443738812,0,0.28329920889352,0,0.0425376814328642,0,0,0,0.0635164204747617,0,0,0,0,0
ADA,0,0,-0.0748187706653171,0,0,0,0,0.319600757024315,0,0,0.149936933737551,0,0,0,0,0,0,0,0,0
XMR,0,0,0.036476880668602,0,0.127027696968719,0,0,0,0.13912941435419,0,0.0265051363646202,0,0.0918564390232869,0,0.0232492144850809,0,0,0,0,0
ETC,0,0,0.169259555861477,0.00149042133271613,0,0.0914432522551216,0,0,0.19474052976105,0,0,0,0,0,0.0165048848546474,0,0,0,0,0
XEM,0,0,0,0,0,0,-0.00000000000000000010842021724855,0.0679709563306895,0.0997533609430069,0,0,0,0,0,0.0552878921195615,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.0344486568873132,0,0,0,0.159598450555835,0,0,0,0,0
EOS,0,0,0.101962980183965,0.145090562852955,0,0.205230105826363,0,0.139625390736349,0,0,0.0756100164258132,0,0.16377940476103,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,-0.0237459612255133,0.0750850132493942,0.312731621836806,0,0,0.188107398068312,0,0.170317106246683,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.0114338248648954,0,0,0,0.0147066458634131,0.0227906756014896,0.0167047223549022,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000000142111121482258,0,0,0,0,0.000000223071763640252,0,0,0,0,0,-0.0187692425410414
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
