,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0368177400046504,0,0.000000000000000000867361737988404,0,0,0.00494989222146791,0.0815921323030602,0.0274639738908242,0,0.123499672620172,0,0,0,0,0,0,0,0
XRP,0,0,0,0.153068042048574,0.0548669689457964,0,0,-0.0042944810211438,0.0919049929683108,0,0,0.191168841048657,0,0,0,0,0,0,0,0
ETH,0,0.0615278147035888,0,0,0.119451030027819,0,0.112455468810003,0,0.163473504544948,0.0184160064524788,0,0,0,0,0,0,0,0,0,0
XLM,0,0.251433764671003,0,0,0,0,0,0,0.497067154742318,0.0525307264936361,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.304296770174688,0,0,0,0,0.0416142289896076,0.23480194969367,0,0,0.14143310734888,0,0,0,0,0,0,0,0
EOS,0,0.0303312519776551,0.119018060389476,0.116561459005762,0.0807207281543628,0,0.0673123138812668,0,0.0289112310458576,0.00866087907870567,0,0.0640504050966356,0,0,0,0,0,0,0,0
LTC,0,0,0.218033824833068,0,0.080248282866242,0,0,0,0.132179560204012,0,0,0.188310469148434,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.0236050050885297,0.0530597558089823,0.224312186812258,0,0,0,0,0.193732254446541,0,0.168588965316204,0.0101435320457342,0,0,0,0,0,0,0
TRX,0,0,0.212008934251523,0.0806633502195648,0.0685834541974027,0,0,-0.000391736082252763,0.0887680027934905,0,0,0.228730012966738,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.0951556926481731,0,0,0.00530003984656011,0.0966824895483204,0,0,0.119096430505408,0.135458660531259,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0145623499222089,0.221789314046239,0,0,0.0210483776121909,0.125817162932151,0.112608251001774,0,0,0,0.0418242691290523,0,0,0,0,0,0
DASH,0,0,0.0290091013725914,0,0,0,0,0,0.232485076698267,0,0,0.147801956340359,0,0,0.0552979026506161,0,0,0,0,0
BNB,0,0,0,0,0.0946998680490664,0,0,0,0,0.133136248251362,0,0.0339086864989017,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.0402332473834779,0,0,0,0.0467790082549786,0.113756593642031,0,0.222265603980363,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0.000000932268610642794,0,0,-0.00000341661090166261,0,0,0,0,0,0,0,0,0.0642968223112432
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104190134223086
VIX.INDEX,0,0,0,0,-0.00000423327125601712,0,0,0.000000303811447502288,0,0,0,0,0.00000410486247232559,0,-0.000000426316177406162,0,0.399037520781872,0,-3.72723799629628,0
