,BTC,ETH,XRP,BCH,ADA,LTC,XEM,MIOTA,XLM,DASH,TRX,NEO,EOS,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0132045532203923,0.0258785544312178,0,0.0598858969430913,0,0,0.0283704512242139,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.142935665152726,0,0,0.0203772731285784,0,0.0169797781811321,0.0351292424760332,0.0255044751530298,0,0.0398035816137261,0,0,0,0,0
XRP,0,0,0,0,0.172070717882292,0,0.106347092534548,0,0,0,0.0408044935915779,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0.229656310003762,0,0.0468561577730127,0.081460323150035,0,0.368096996589004,0,0,0,0,0
ADA,0,0,0.158733305435835,0,0,0,0.0596502778616287,0.0229657998889462,0.464759224484956,0,0,0,0,0,0.00503175103742216,0,0,0,0,0
LTC,0.219617024138714,0.319205936867083,0,0,0,0,0.239355583052903,0.0453425785838836,0,0,0,0,0.00123508030449553,0,0,0,0,0,0,0
XEM,0,0,0.141040959691745,0,0.0249226091292644,0.0347166253934042,0,0,0.247901360355234,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.111164851185248,0.136823437533415,0.13694872422062,0,0.0994877710811333,0,0,0,0.0187431786578906,0,0.0114241375232018,0,0,0,0,0
XLM,0,0,0,0,0.373480078400229,0,0.014032909077833,0.113492839932034,0,0,0,0,0.171870037911391,0.0545341647229719,0,0,0,0,0,0
DASH,0,0,0,0.104463063061396,0,0.104819856767671,0.00765694152858977,0,0,0,0.0818561979693472,0,0,0.0870415902084112,0.00994913186690852,0,0,0,0,0
TRX,0.50825811601527,0,0,0,0.112583700346076,0.200291972612634,0,0,0,0,0,0,0.131458472889044,0,0,0,0,0,0,0
NEO,0,0.159836729071559,0.0770540125416217,0.0358923571180007,0,0,0.0189453109195626,0,0.234023472604303,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0382562870852527,0,0.111811103436853,0.0302027698631454,0.0225562588434878,0.124599143226271,0,0.115420721811022,0,0,0.096602796299023,0.0587714261724818,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.0447228660220204,0.136294040346446,0.174506738577548,0,0.0880214206346671,0,0,0.043824347313547,0,0,0,0,0
BTG,0,0,0,0.525038885859,0.0177649776608242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.010110608761048,0,0.0000898497522180663,0,0.0100337512713974,0,0.0052270499508868,0,0.00562859929132012,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00288904022844081,-0.000638153577593926,0,0,0,0,0,0,0.00263024501081251,0,0,0,0,0,0,0,0,0
SPX.INDEX,-0.000000194291775955397,0,0,0,0,0,0.0000000000000000000000132348898008484,-0.000000139124694181753,0,0,0.000000152311083979834,0,0,0,-0.0000000000000000000000132348898008484,0,0,0,0,-0.01597480836355
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
