,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.385481649252439,-0.0681284076519265,0,0.0231756051959065,0,0,0,0.00705090149127545,0,0.0210474147210873,0.006763982580728,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0339849934594623,0.0573340659218947,0.0518621735343739,0.0926984841701659,0.0915119417787548,0.082385943799343,0,0.0233723990440477,0,0,0,0,0,0
BCH,0,0,0,0,0,0.207646202875379,0,0.134148408471971,0,0,0.192820552078001,0,0,0,0,0,0,0,0,0
XRP,0,0.00995341428416462,0,0,0.129702926798745,0,0.0480757825281531,0.0421509675831255,0,0.0374984810258427,0,0.0162124092551647,0,0,0.0815494245256938,0,0,0,0,0
LTC,0.10590586225476,0,0,0.078483704233355,0,0,0.0504731997078198,0.0751975716444471,0,0.110960732756846,0.102662003094046,0.00155586585080047,0,0,0,0,0,0,0,0
DASH,0,0,0.0301179678808576,0,0,0,0.190737784664364,0,0,0,0,0,0.0493033406634003,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.201577905901836,0,0.126084488466933,0.0373023134504405,0.0311150084248507,0,0,0.0556698995056111,0,0,0,0,0
NEO,0,0.0806699369795986,0,0,0,0,0,0,0,0.0903134483720608,0.0420600980646313,0.0369940177489456,0,0.00211421493867566,0.177320646767223,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.126685602873988,0,0.0365955823398792,0,0,0.105932280809046,0,0.0123399504323784,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0623892035992862,0.211323491482995,0.087899562691138,0,0,0,0,0.0481697355635705,0.0401271237092165,0,0,0,0,0
ETC,0,0.178907563120096,0.112256857578597,0,0,0,0,0.00000000000000000173472347597681,0,0.0292664614480405,0,0.0377075858542586,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0343660512193559,0,0,0.136181961523574,0.0285824000578406,0,0,0.284189334579749,0,0.207643005235491,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.234911762427091,0.205969763168883,0.0429774421002783,0,0,0,0.00788699042986014,0,0,0,0,0,0,0,0
ADA,0,0,-0.167100745708877,0,0,0,0.028168696366437,0.00638575204737877,0.0616033478489303,0,0.150698619750322,0,0,0,-0.054000546685613,0,0,0,0,0
XLM,0,0,0,0,0,0,0.149901346284569,0.313567991909236,0,0.154706632765991,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0284003741190142,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0000000518724092606537,-0.000000130140362204895,0,0,0,0,0,0,-0.0265225562547673
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
