,BTC,ETH,XRP,LTC,EOS,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0853230864844244,0,0,0.0863423697778026,0.101503036809295,0,0,0.0397456986905851,0,0.00263532676979091,0.00850131464792377,0,0,0,0,0,0,0,0
ETH,0,0,0,0.000000000000000000433680868994202,0.19737068136695,0.0911306591348278,0,0,0,0,0.143426507175773,0,0,0,0.143215675287701,0,0,0,0,0
XRP,0,0.114061329534214,0,0,0.0111778290008785,0.0573063221026575,0,0,0,0,0.158378682580628,0.053191766485496,0,0,0.0626067023857254,0,0,0,0,0
LTC,0,0.0260429321592993,0,0,0.374106728123047,0.10328421779457,0,0,0,0,0,0,0,0,0.189797045958685,0,0,0,0,0
EOS,0,0.35075218451406,0,0.190061159081123,0,0.0666647280753093,0,0,0,0,0.0000000000000000138777878078145,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.264092818953029,0.0775809596169582,0,0.0236472511633936,0,0,0.299326671855477,0,0,0.0686181999142347,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.283665525233577,0,0,0,0,0,0,0,0,0.319307560811817,0,0,0,0,0
XLM,0,0.195776342046846,0,0.0240228838655173,0.0290567780609487,0.12094536965903,0,0,0,0,0.127739040301207,0.0332539499059274,0.000000000000000000433680868994202,0,0.0468701688556122,0,0,0,0,0
BNB,0,0.0487336404225178,0,0.134556460779307,0.295065002644497,0,0.149420326210276,0,0,0,0,0,0,0,0.108796970856286,0,0,0,0,0
BSV,0,0,0,0.0487583956127325,0,0.392732180608643,0,0,0,0,0,0,0,0.0354156525756247,0,0,0,0,0,0
ADA,0,0.354929145141429,0,0.154272677790371,0.0620914412960525,0.0444367741419672,0,0,0,0,0,0,0,0,0.106348535745626,0,0,0,0,0
XMR,0,0,0,0,0.324322649071742,0.179421460232334,0,0,0,0,0,0,0,0.0786644308780038,0.0698807910603028,0,0,0,0,0
MIOTA,0,0.135789611271158,0,0,0.32728260683136,0.105616203759767,0,0,0,0,0,0,0,0.148808700946673,0,0,0,0,0,0
DASH,0,0,0,0,0.362323772841568,0.0975154749099399,0,0,0,0,0.0266953861368104,0,0,0,0,0,0,0,0,0
NEO,0,0.374847280703685,0,0.0157680136039128,0.243858350244127,0,0,0,0,0,0,0.0309248371769695,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00128537157525739,0,0,0,-0.000344224071953091,0.000527452033016557,0,0,0,0,0,0,0,0,0,-0.0543062835820072,0,0,-0.130917769536556
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111576704907056
VIX.INDEX,0,0,0.00000105074940091954,0,0,0,0.00000119880772237332,0,0,0.000000000000000000000211758236813575,0,0,0,0,0,0,0,0,-2.33986818412112,0
