,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.052597074154184,0.106493396302406,0,0,0,0.00449266390949617,0,0,0,0.0469575182820316,0.0351345738177573,0,0,0,0,0,0
ETH,0,0,0,0.0378576309060318,0.19599317085988,0.0630394386382315,0,0,0.0326999625563345,0,0,0,0.128790789835575,0.0362672952983215,0,0,0,0,0,0
XRP,0,0.0037027425303845,0,0,0.0942832638788695,0,0,0.0283903965983217,0.0759391708381392,0,0.187008736613412,0,0.0327188379576509,0.0174097984649088,0,0,0,0,0,0
BCH,0,0,0,0,0,0.311533098671312,0,0.0911069631299868,0.277064206284055,0,0,0,0.0231033929344356,0,0,0,0,0,0,0
EOS,0,0.0984486705479563,0,0.0566283974720124,0,0.356360670819757,0.0108470008844186,0,0,0.0308502829978632,0.130506213865968,0,0,0.0271087533916867,0,0,0,0,0,0
LTC,0,0,0,0.446858732123375,0.103325947890866,0,0.0562087224976051,0,0,0,0,0,0.0967003387859512,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0.384164400006291,0,-0.0133759876167767,-0.134349987857806,0,0,0.301719919746396,0,-0.0880935105011053,0,0,0,0,0,0
XLM,0,0,0,0,0.050270698213877,0,0,0,0.0751400068229983,0,0.150467151096973,0.199743269521435,0.0321994424282059,0,0,0,0,0,0,0
ADA,0,0,0,0.232038089912928,0.046586276864446,0.181559722680179,0,0,0,0,0.14307117097981,0,0,0.0158949085297209,0.0529894598552144,0,0,0,0,0
TRX,0,0,0.0650108088745043,0.00872613015964249,0.105358621956839,0,0,0,0.0793546361449004,0,0.0630859605296281,0.0716189186509872,0.0918232954870197,0,0,0,0,0,0,0
XMR,0,0.34234605137683,0.0277320650406059,0,0.093744053494427,0.0214524079581799,0,0.0285057710344597,0,0,0,0,0,0.0217334536685032,0,0,0,0,0,0
DASH,0,0.218302032848551,0,0,0.126566525153159,0,0.0258767058012542,0,-0.00000000000000000010842021724855,0.0245754627778898,0.0743443013922695,0,0.103876942796058,0,0,0,0,0,0,0
BSV,0,0,0,0.0619353292774044,0.0364886168681076,0.263015362499422,0,0,0.0504483897711948,0.0204114624960357,0,0.0638290967266571,0,0.00232262946292871,0,0,0,0,0,0
XTZ,0,0,0.097419902148136,-0.124204256228475,0.182492528868595,0,0,0.00000000000000000346944695195361,0,0,0.369538509567713,0.00000000000000000346944695195361,0,0,0.0400989645322829,0,-0.136969037341497,0,0,0
MIOTA,0,0,0,0,0.112662495871738,0,0.0270486342134224,0,0.112857826495441,0,0,0.0600221708801928,0.0339880099640392,0.0348388832899544,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393544132541319
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671450818269387
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
